file,#,organization-name,city-state,organization-type,position-held,from,to
"Senate-confirmed/Rosen, Jeffrey A",3,Northwestern University College of Arts & Sciences Board of Visitors,"Evanston, Illinois",University/Colle ge,Board member,4/2009,Present
"Senate-confirmed/Rosen, Jeffrey A",4,Free State Foundation,"Rockville, Maryland",Non-Profit,Board member,9/2011,12/2016
"Senate-confirmed/Rosen, Jeffrey A",5,"U.S. Chamber of Commerce, Committee on Government Operations, Oversight, and Consumer Affairs","Washington, District of Columbia",Trade Association,Committee Member,9/2012,2/2017
"Senate-confirmed/Rosen, Jeffrey A",6,Advisory Board of the National Federation of Independent Business Small Business Legal Center,"Washington, District of Columbia",Trade Association,Board Member,2/2011,2/2017
"Senate-confirmed/Rosen, Jeffrey A",7,Jeffrey Adam Rosen Revocable Living Trust (no reportable assets),"McLean, Virginia",Trust,Trustee,12/1996,Present
Senate-confirmed/Ross Wilbur L,1,Palm Beach Preservation Foundation,"Palm Beach, Florida",Non-Profit,Trustee,1/2010,Present
Senate-confirmed/Ross Wilbur L,2,Harvard Business School Club of New York,"New York, New York",Social Club,Director,1/2011,Present
Senate-confirmed/Ross Wilbur L,3,The Partnership for New York City,"New York, New York",Non-Profit,Member of the Executive Committee,1/2010,Present
Senate-confirmed/Ross Wilbur L,4,WL Ross and Co. LLC,"Wilmington, Delaware",Limited Liability Company,Chairman/Chief Strategy Officer,10/1997,Present
Senate-confirmed/Ross Wilbur L,5,Sun National Bank,"Vineland, New Jersey",Bank,Director,9/2010,Present
Senate-confirmed/Ross Wilbur L,6,Nexeo Solutions,"The Woodlands, Texas",Chemicals/Plasti cs Distribution,Chairman,3/2014,Present
Senate-confirmed/Ross Wilbur L,7,"BankUnited FSB, BankUnited, Inc.","Miami Lakes, Florida",Banks,Director,5/2009,3/2014
Senate-confirmed/Ross Wilbur L,8,First Michigan Bank/Talmer Bancorp,"Troy, Michigan",Bank,Director,4/2010,11/2014
Senate-confirmed/Ross Wilbur L,9,"WLR China Energy Associates, Ltd.","Cayman Islands, Outside U.S.",Investment Management,Director,12/2008,Present
Senate-confirmed/Ross Wilbur L,10,"INVESCO WLR Private Equity Investment Management, Ltd.","Hong Kong, Outside U.S.",Investments,Director,6/2008,Present
Senate-confirmed/Ross Wilbur L,11,"Invesco Private Capital, Inc.","Palo Alto, California",Investment Management,Director,10/2006,Present
Senate-confirmed/Ross Wilbur L,12,ArcelorMittal,"Luxembourg, Outside U.S.",Steel,Director,5/2008,Present
Senate-confirmed/Ross Wilbur L,13,Assured Guaranty,"Bermuda, Outside U.S.",Insurance,Director,5/2008,11/2014
Senate-confirmed/Ross Wilbur L,14,Huaneng Invesco WLR Investment Consulting Company Ltd.,"China, Outside U.S.",Investment Management,Director,9/2008,Present
Senate-confirmed/Ross Wilbur L,15,"International Automotive Group North America (Inc., LLC, and Holdings, Inc.)","Southfield, Michigan",Auto parts,Chairman and Director,1/2006,11/2014
Senate-confirmed/Ross Wilbur L,16,International Automotive Group GmbH,"Krefeld, Outside U.S.",Auto parts,Chairman and Director,1/2006,11/2014
Senate-confirmed/Ross Wilbur L,17,International Textile Group,"Greensboro, South Carolina",Textiles,Non-Executive Director,1/2005,11/2014
Senate-confirmed/Ross Wilbur L,18,Invesco WLR Limited,"Hong Kong, Outside U.S.",Investment Management,Director,6/2008,Present
Senate-confirmed/Ross Wilbur L,19,PLASCAR,"Brazil, Outside U.S.",Auto parts,Director,3/2008,1/2014
Senate-confirmed/Ross Wilbur L,20,"Invesco Private Capital Investments, Inc.","Palo Alto, California",Investment Management,Director,10/2006,Present
Senate-confirmed/Ross Wilbur L,21,WL Ross & Co. (India) LLC,"Wilmington, Delaware",Limited Liability Company,Director,7/2006,Present
Senate-confirmed/Ross Wilbur L,22,"Absolute Recovery Hedge Fund, Ltd.; Absolute Recovery Master Fund Ltd.","Bermuda, Outside U.S.",Investment Management,Director,5/2001,Present
Senate-confirmed/Ross Wilbur L,23,Ohizumi Manufacturing,"Sayama-shi, Outside U.S.",Air Conditioner parts,Director,6/2010,4/2015
Senate-confirmed/Ross Wilbur L,24,WLR/GS (India) Limited,"Mauritius, Outside U.S.",Investment Management,Director,8/2008,10/2015
Senate-confirmed/Ross Wilbur L,25,"Ross Expansion FLP, LP","New York, New York",Limited Partnership,General Partner,12/2005,Present
Senate-confirmed/Ross Wilbur L,26,"WLR Master Co-Investment SLP GP, Ltd.","New York, New York",General Partner,Director/Chairm an,8/2011,Present
Senate-confirmed/Ross Wilbur L,27,"The Japan Society, Inc.","New York, New York",Non-Profit,Director/Chairm an,2/2005,Present
Senate-confirmed/Ross Wilbur L,28,Diamond S Shipping LLC,"New York, New York",Shipping Management,Chairman,1/2011,Present
Senate-confirmed/Ross Wilbur L,29,Briarcliff Condominium Apartment Building,"New York, New York",Non-Profit,Director,1/2007,Present
Senate-confirmed/Ross Wilbur L,30,El Vedado LLC,"West Palm Beach, Florida",Limited Liability Company,Sole Member,12/2005,Present
Senate-confirmed/Ross Wilbur L,31,Exco Resources,"Dallas, Texas",Corporation,Independent Director,1/2012,Present
Senate-confirmed/Ross Wilbur L,32,Sun BanCorp,"Mount Laurel, New Jersey",Bank,Director,9/2009,Present
Senate-confirmed/Ross Wilbur L,33,Bank of Cyprus,"Strovolos, Outside U.S.",Bank,Director/Vice Chairman,11/2014,Present
Senate-confirmed/Ross Wilbur L,34,American Friends of the Rene Magritte Museum,"New York, New York",Non-Profit,President,1/2014,Present
Senate-confirmed/Ross Wilbur L,35,Musee des Arts Decoratifs,"Paris, Outside U.S.",Non-Profit,International Counsel Member,1/2014,Present
Senate-confirmed/Ross Wilbur L,36,"British American Business, Inc.","New York, New York",Business Network,International Advisory Board Director,1/2010,Present
Senate-confirmed/Ross Wilbur L,37,"Diamond S Shipping Group, Inc.","Greenwich, Connecticut",Shipping Services,Non-Executive Chairman,1/2011,Present
Senate-confirmed/Ross Wilbur L,38,Governor and Company of the Bank of Ireland,"Dublin, Outside U.S.",Bank,Director,6/2012,6/2014
Senate-confirmed/Ross Wilbur L,39,NBNK Investments PLC,"London, Outside U.S.",Bank,Director/Chairm an,1/2013,11/2014
Senate-confirmed/Ross Wilbur L,40,"PB Materials Holdings, Inc.","Odessa, Texas",Corporation,Director,10/2013,11/2014
Senate-confirmed/Ross Wilbur L,41,Navigator Holdings Ltd.,"London, Outside U.S.",Shipping,Director/Chairm an,1/2012,11/2014
Senate-confirmed/Ross Wilbur L,42,Ocwen Financial Corp.,"Atlanta, Georgia",Mortgage Servicing,Director,3/2013,11/2014
Senate-confirmed/Ross Wilbur L,43,"International Automotive Group Japan, LLC","Yokohama, Outside U.S.",Auto Parts,Director/Chairm an,1/2006,11/2014
Senate-confirmed/Ross Wilbur L,44,"International Automotive Components Group, S.A.","Luxembourg, Outside U.S.",Auto parts,Non-Executive Chairman,1/2006,11/2014
Senate-confirmed/Ross Wilbur L,45,"IACNA International, Inc.","Wilmington, Delaware",Corporation,Director,6/2008,11/2014
Senate-confirmed/Ross Wilbur L,46,"Harvard Business School, Dean's Advisory Board","Cambridge, Massachusetts",Non-Profit,Director,1/2012,1/2015
Senate-confirmed/Ross Wilbur L,47,India Asset Recovery Fund Limited,"Mauritius, Outside U.S.",Investment Management,Director,7/2006,Present
Senate-confirmed/Ross Wilbur L,48,Palm Beach Retirement Funds,"Palm Beach, Florida",Pension Plan for public Servants,Trustee,1/2010,Present
Senate-confirmed/Ross Wilbur L,49,Brookings Economic Studies Council,"Washington, District of Columbia",Non-Profit,Director/Chairm an,1/2012,Present
Senate-confirmed/Ross Wilbur L,50,DSS Holdings LP,"Greenwich, Connecticut",Shipping,Director/Chairm an,1/2011,Present
Senate-confirmed/Ross Wilbur L,51,"IAC Asia Holdings, Inc.","Wilmington, Delaware",Auto parts,Director,5/2007,11/2014
Senate-confirmed/Ross Wilbur L,52,"IACNA Korea, Inc.","Wilmington, Delaware",Auto parts,Director,10/2010,11/2014
Senate-confirmed/Ross Wilbur L,53,"IAC Mexico Holdings, Inc.","Wilmington, Delaware",Auto parts,Director,5/2007,11/2014
Senate-confirmed/Ross Wilbur L,54,"IAC Spartanburg, Inc.","Wilmington, Delaware",Auto parts,Director,2/2010,11/2014
Senate-confirmed/Ross Wilbur L,55,"IAC U.S. Holdings, Inc.","Wilmington, Delaware",Auto parts,Director,5/2007,11/2014
Senate-confirmed/Ross Wilbur L,56,Ross Expansion GP LLC,"Wilmington, Delaware",Limited Liability Company,Sole Member,4/2004,Present
Senate-confirmed/Ross Wilbur L,57,"Absolute Recovery Capital Partners, LLC","Wilmington, Delaware",Limited Liability Company,Managing Member,5/2011,Present
Senate-confirmed/Ross Wilbur L,58,Blenheim Foundation USA,"Palm Beach, Florida",Non-Profit,Trustee,1/2008,Present
Senate-confirmed/Ross Wilbur L,59,Invesco Ltd.,"Atlanta, Georgia",Corporation,CEO -- Private Equity Groups,10/2006,Present
Senate-confirmed/Ross Wilbur L,60,Brookings Institution,"Washington, District of Columbia",Non-Profit,Trustee,1/2013,Present
Senate-confirmed/Ross Wilbur L,61,Palm Beach Civic Association,"Palm Beach, Florida",Non-Profit,Director,1/2010,Present
Senate-confirmed/Ross Wilbur L,62,Permali do Brasil Industria e Comercio Ltda,"Brazil, Outside U.S.",Investments,Director,3/2008,1/2014
Senate-confirmed/Ross Wilbur L,63,"1116 South Main Street, LLC","Wilmington, Delaware",Limited Liability Company,Managing Member,1/2003,Present
Senate-confirmed/Ross Wilbur L,64,781 Fifth Ave. LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,1/2003,Present
Senate-confirmed/Ross Wilbur L,65,Euro Wagon Ltd.,"George Town, Outside U.S.",Corporation,Director,2/2011,Present
Senate-confirmed/Ross Wilbur L,66,Euro Wagon II Ltd.,"George Town, Outside U.S.",Corporation,Director,2/2011,Present
Senate-confirmed/Ross Wilbur L,67,WLR Euro Wagon Management Ltd. (Jersey),"St Helier, Outside U.S.",Corporation,Director,9/2005,Present
Senate-confirmed/Ross Wilbur L,68,WL Ross Group (Cayman) Ltd.,"Cayman Islands, Outside U.S.",Corporation,Director,2/2011,Present
Senate-confirmed/Ross Wilbur L,69,India Asset Recovery GP Ltd.,"Cayman Islands, Outside U.S.",Corporation,Director,7/2006,Present
Senate-confirmed/Ross Wilbur L,70,"WLR Select Associates DSS GP, Ltd.","Cayman Islands, Outside U.S.",Corporation,Director,12/2010,Present
Senate-confirmed/Ross Wilbur L,71,"WLR IV Loans AIV Feeder (Cayman), Ltd.","Cayman Islands, Outside U.S.",Corporation,Director,10/2009,Present
Senate-confirmed/Ross Wilbur L,72,"WLR Recovery Associates IV DSS AIV GP, Ltd. (Cayman)","Cayman Islands, Outside U.S.",Corporation,Director,11/2007,Present
Senate-confirmed/Ross Wilbur L,73,"WLR Recovery Associates V DSS AIV GP, Ltd. (Cayman)","Cayman Islands, Outside U.S.",Corporation,Director,9/2011,Present
Senate-confirmed/Ross Wilbur L,74,Starboard GP Ltd. (Cayman),"New York, New York",Corporation,Director,11/2013,Present
Senate-confirmed/Ross Wilbur L,75,WLR Cardinal Associates Ltd.,"New York, New York",Corporation,Director,5/2015,Present
Senate-confirmed/Ross Wilbur L,76,India Asset Recovery Associates LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,2/2006,Present
Senate-confirmed/Ross Wilbur L,77,WLR Recovery Associates II LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,2/2002,Present
Senate-confirmed/Ross Wilbur L,78,Starboard WLR Associates L.P.,"New York, New York",Limited Partnership,Principal Partner,11/2013,Present
Senate-confirmed/Ross Wilbur L,79,WLR-SC Financing Conduit LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,1/2013,Present
Senate-confirmed/Ross Wilbur L,80,Ross CG GP LLC,"Wilmington, Delaware",Limited Liability Company,Sole Member,5/2003,Present
Senate-confirmed/Ross Wilbur L,81,WLR IMRF II Associates LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,4/2016,Present
Senate-confirmed/Ross Wilbur L,82,WLR Nanotechnology GP LLC,"Wilmington, Delaware",Limited Liability Company,Managing Member,1/2006,Present
"Senate-confirmed/Sessions, Jefferson B",1,Samford University,"Birmingham, Alabama",University/Colle ge,Member of Board of Overseers,6/2006,Present
"Senate-confirmed/Shulkin, David J",1,Atlantic Health System,"Morristown NJ, New Jersey",Non-Profit,"President, Morristown Medical Center",1/2010,7/2015
"Senate-confirmed/Shulkin, David J",2,"Control Rad, Inc","Radnor, Pennsylvania",Corporation,Board Member,6/2012,6/2015
"Senate-confirmed/Shulkin, David J",3,Data Driven Delivery Systems,"Las Vegas, Nevada",Corporation,Board Member,6/2012,6/2015
"Senate-confirmed/Shulkin, David J",4,Francisco Partners,"San Francisco, California",Corporation,Advisory Board Member,6/2014,6/2015
"Senate-confirmed/Shulkin, David J",5,Stonebrook Risk Solutions,"Encino, California",Corporation,Advisory Board Member,2/2014,5/2015
"Senate-confirmed/Shulkin, David J",6,Hutchinson Biofilm Medical Solutions Ltd,"Radnor, Pennsylvania",Corporation,Advisory Board Member,2/2014,6/2015
"Senate-confirmed/Shulkin, David J",7,SpectraMD,"East Windsor, New Jersey",Corporation,Advisory Board Member,2/2012,6/2015
"Senate-confirmed/Shulkin, David J",8,e-health International Group,"New York, New York",Corporation,Advisory Board Member,3/2012,1/2015
"Senate-confirmed/Shulkin, David J",9,Riverside Partners LLC,"Boston, Massachusetts",Corporation,Advisory Board Member,1/2012,6/2015
"Senate-confirmed/Shulkin, David J",10,Open Doctor Inc,"New York, New York",Corporation,Advisory Board Member,7/2009,6/2015
"Senate-confirmed/Shulkin, David J",11,Foundation of the Morristown Medical Center,"Morristown, New Jersey",Non-Profit,Board Member,1/2010,6/2015
"Senate-confirmed/Shulkin, David J",12,Primary Care Partners of Atlantic Health System,"Morristown, New Jersey",Corporation,President and Board Member,7/2012,6/2015
"Senate-confirmed/Shulkin, David J",13,Atlantic Accountable Care Organization,"Morristown, New Jersey",Non-Profit,President and Board Member,1/2011,6/2015
"Senate-confirmed/Shulkin, David J",14,Optimus Accountable Care Orgaization,"Summit, New Jersey",Corporation,Board Member,4/2012,6/2015
"Senate-confirmed/Shulkin, David J",15,New Jersey Council of Teaching Hospitals,"Trenton, New Jersey",Non-Profit,Chairman of the Board,4/2012,6/2015
"Senate-confirmed/Shulkin, David J",16,Qualcare Inc,"Piscataway, New Jersey",Corporation,Board Member,5/2012,2/2015
"Senate-confirmed/Shulkin, David J",17,United Healthcare,"Minneapolis, Minnesota",Corporation,Advisory Board Member,6/2012,6/2015
"Senate-confirmed/Shulkin, David J",18,Merle Bari MD and Associates Inc,"Gladwyne, Pennsylvania",Corporation,Vice President/Treas urer,6/2001,6/2015
"Senate-confirmed/Shulkin, David J",19,Journal of Population Health Management,"New Rochelle, New York",Journal,Editorial Board,6/2009,6/2015
"Senate-confirmed/Shulkin, David J",20,Journal of Healthcare Quality,"Malden, Massachusetts",Journal,Editorial Board,6/2010,6/2015
"Senate-confirmed/Shulkin, David J",21,Jefferson Medical College,"Philadelphia, Pennsylvania",University/Colle ge,Professor of Medicine,6/2014,6/2015
"Senate-confirmed/Shulkin, David J",22,Mt. Sinai School of Medicine,"New York, New York",University/Colle ge,Professor of Medicine,11/2010,6/2015
"Senate-confirmed/Shulkin, David J",23,"Health, Education, and Research Trust","Chicago, Illinois",Non-Profit,Senior Fellow,7/2009,6/2015
"Senate-confirmed/Shulkin, David J",24,Institute of Population Health,"Morristown, New Jersey",Non-Profit,Faculty member,12/2013,6/2015
"Senate-confirmed/Shulkin, David J",25,"Rowan University School of Osteopathic Medicine, Institute of Postgraduate Training","Stratford, New Jersey",University/Colle ge,Board Member,11/2004,6/2015
"Senate-confirmed/Shulkin, David J",26,Health Advance,"Weston, Massachusetts",Corporation,Industry Interviewee,2/2014,2/2015
"Senate-confirmed/Shulkin, David J",27,Guidepoint Global,"New York, New York",Corporation,Industry Interviewee,1/2010,1/2015
"Senate-confirmed/Shulkin, David J",28,HIRC,"Santa Cruz, California",Corporation,Industry Interviewee,12/2014,1/2015
"Senate-confirmed/Shulkin, David J",29,Coleman Research Group,"New York, New York",Corporation,Industry Interviewee,1/2012,1/2015
"Senate-confirmed/Shulkin, David J",30,Care New England,"Providence, Rhode Island",Non-Profit,Consultant for Case Review,8/2014,1/2015
"Senate-confirmed/Shulkin, David J",31,Alpha Sights Inc,"Livingston, New Jersey",Corporation,Industry Interviewee,1/2015,2/2015
"Senate-confirmed/Shulkin, David J",32,Mendham Investment Group,"Mendham, New Jersey",Angel Investor Group,Participant,11/2011,6/2015
"Senate-confirmed/Sullivan, John J",1,Mayer Brown LLP,"Washington, District of Columbia",Law Firm,Partner,2/2012,Present
"Senate-confirmed/Sullivan, John J",2,ConsulCapital LLP,"Darien, Connecticut",Corporation,Partner,1/2012,12/2015
"Senate-confirmed/Sullivan, John J",3,"Air Force Judge Advocate General's School Foundation, Inc.","Montgomery, Alabama",Non-Profit,Board Member,3/2010,Present
"Senate-confirmed/Sullivan, John J",4,U.S.-Iraq Business Dialogue,"Washington, District of Columbia",Bilateral forum,Chairman,10/2010,12/2016
"Senate-confirmed/Tillerson, Rex W",1,ExxonMobil Corporation,"Irving, Texas",Corporation,Chairman & CEO,1/2006,12/2016
"Senate-confirmed/Tillerson, Rex W",2,The Tillerson Foundation,"Fort Worth, Texas",Private Charitable Foundation,President & Treasurer,8/2016,Present
"Senate-confirmed/Tillerson, Rex W",3,Bar RR Ranches,"Bartonville, Texas",LLC,Co-Owner,7/2007,Present
"Senate-confirmed/Tillerson, Rex W",4,R2 Real Estate,"Bartonville, Texas",LLC,Managing Member,3/2016,Present
"Senate-confirmed/Tillerson, Rex W",5,Ford's Theatre Society,"Washington, District of Columbia",Non-Profit,Vice-Chairman,6/2007,Present
"Senate-confirmed/Tillerson, Rex W",6,Center for Strategic and International Studies,"Washington, District of Columbia",Non-Profit,Trustee,6/2005,Present
"Senate-confirmed/Tillerson, Rex W",7,Boy Scouts of America,"New York, New York",Non-Profit,Director,6/2005,Present
"Senate-confirmed/Tillerson, Rex W",8,Business Roundtable,"Washington, District of Columbia",Non-Profit,Executive Committee Member,5/2008,12/2016
"Senate-confirmed/Tillerson, Rex W",9,American Petroleum Institute,"Washington, District of Columbia",Trade Group,Executive Committee Member,1/2006,12/2016
"Senate-confirmed/Wilson, Heather A",1,South Dakota School of Mines & Technology,"Rapid City, South Dakota",University/Colle ge,President,6/2013,Present
"Senate-confirmed/Wilson, Heather A",2,Peabody Energy,"St Louis, Missouri",Corporation,Director,8/2013,Present
"Senate-confirmed/Wilson, Heather A",3,Raven Industries,"Sioux Falls, South Dakota",Corporation,Director,3/2016,Present
"Senate-confirmed/Wilson, Heather A",4,South Dakota Science and Technology Authority,"Lead, South Dakota",Non-Profit,Ex Officio Board Member,7/2014,Present
"Senate-confirmed/Wilson, Heather A",5,Flight Time LLC,"Rapid City, South Dakota",Corporation,Member,1/2016,Present
"Senate-confirmed/Wilson, Heather A",6,Rocky Mountain Athletic Conference,"Colorado Springs, Colorado",Non-Profit,Executive Committee Member,5/2015,Present
"Senate-confirmed/Wilson, Heather A",7,SD  Mines Foundation,"Rapid City, South Dakota",Non-Profit,"Trustee, Ex Officio",6/2013,Present
"Senate-confirmed/Wilson, Heather A",8,International Foundation for Electoral Systems,"Washington, District of Columbia",Non-Profit,Board Member,1/2013,1/2016
"Senate-confirmed/Wilson, Heather A",9,Rapid City Economic Development,"Rapid City, South Dakota",Non-Profit,Ex Officio Board Member,6/2013,Present
"Senate-confirmed/Wilson, Heather A",10,Rapid City Area Chamber of Commerce,"Rapid City, South Dakota",Non-Profit,Ex Officio Board Member,6/2013,Present
"Senate-confirmed/Wilson, Heather A",11,Destination Rapid City/Main Street Square,"Rapid City, South Dakota",Non-Profit,Board Member,6/2013,Present
"Senate-confirmed/Zinke, Ryan",1,"Continential Divide International, LLC","Whitefish, Montana",Corporation,CEO,2/2008,Present
"Senate-confirmed/Zinke, Ryan",2,Great Northern Veterans Peace Park Foundation,"Whitefish, Montana",Non-Profit,President,3/2006,Present
"Senate-confirmed/Zinke, Ryan",3,STWA (Save the World Air),"Santa Barbara, California",Corporation,Board Member and Consultant,2/2013,12/2014
"Senate-confirmed/Zinke, Ryan",4,On Point Montana,"Helena, Montana",Corporation,President,1/2012,12/2014
"Senate-confirmed/Zinke, Ryan",5,"Double Tap, LLC","Whitefish, Montana",Corporation,Managing Member,6/2011,Present
"U.S. Trade and Development Agency/Atkins, Stewart",1,Afore Consulting,"Brussels, Outside U.S.",Consulting Firm,Junior Consultant,2/2016,7/2016
"U.S. Trade and Development Agency/Barrett, Peter",1,Barrett Capitol Strategies,"Arlington, Virginia",Consulting Firm,President,4/2015,10/2016
"U.S. Trade and Development Agency/Barrett, Peter",2,Epiq,"Washington, District of Columbia",Corporation,Licensed Attorney,10/2016,11/2016
"U.S. Trade and Development Agency/Barrett, Peter",3,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Volunteer,12/2016,1/2017
"U.S. Trade and Development Agency/Gentry, Randall",1,Family Trust,"Terre Haute, Indiana",Trust,Trustee,7/2001,Present
"U.S. Trade and Development Agency/Gentry, Randall",2,"Donald J. Trump for President, Inc.","New York, New York",Corporation,Staff- Advance Team Member,7/2016,11/2016
"U.S. Trade and Development Agency/Gentry, Randall",3,Presidential Inaugural Committee,"Washington, District of Columbia",Corporation,Division Director - Inaugural Parade,12/2016,1/2017
"U.S. Trade and Development Agency/Gentry, Randall",4,State of Indiana,"Indianapolis, Indiana",State Government,Parole Board / Senior Parole Agent,5/2005,2/2016
"White House/Agen, Jarrod P",1,State of Michigan,"Lansing, Michigan",State Government,Chief of Staff to Governor Snyder,1/2016,1/2017
"White House/Agen, Jarrod P",2,State of Michigan,"Lansing, Michigan",State Government,Director of Communication s,1/2014,1/2016
"White House/Ambrosini, Michael J",1,Republican National Committee,"Washington, District of Columbia",Corporation,Senior Special Assistant to the Chairman,2/2014,1/2017
"White House/Ambrosini, Michael J",2,Trump for America Inc.,"Washington, District of Columbia",Transition team for President- elect Donald Trump,Staff,11/2016,1/2017
"White House/Angelson, Alexander J",1,Republican National Committee,"Washington, District of Columbia",Corporation,Special Assistant to the Chairman,4/2015,1/2017
"White House/Anton, Michael",1,BlackRock,"New York, New York",Corporation,Managing Director,10/2015,2/2017
"White House/Anton, Michael",2,Citigroup,"New York, New York",Corporation,Director,9/2010,10/2015
"White House/Augustine, Rene I",1,National Theatre Corp.,"Washington, District of Columbia",Non-Profit,Trustee and Chair of Governance Committee,1/2017,Present
"White House/Augustine, Rene I",2,Trump for America,"Washington, District of Columbia",Non-Profit,Counsel,12/2016,1/2017
"White House/Augustine, Rene I",3,CAA TRUST,"BETHESDA, Maryland",Trust,CO-TRUSTEE,8/2001,Present
"White House/Augustine, Rene I",4,IAA TRUST,"BETHESDA, Maryland",Trust,CO-TRUSTEE,8/1998,Present
"White House/Augustine, Rene I",5,AAA TRUST,"BETHESDA, Maryland",Trust,CO-TRUSTEE,4/2005,Present
"White House/Augustine, Rene I",6,RENE I AUGUSTINE 2005 REVOCABLE TRUST,"BETHESDA, Maryland",Trust,TRUSTEE,11/2005,Present
"White House/Augustine, Rene I",7,RENE I AUGUSTINE 2011 IRREVOCABLE TRUST,"BETHESDA, Maryland",Trust,CO-TRUSTEE,5/2011,Present
"White House/Bannon, Steve",1,"GOVERNMENT ACCOUNTABILITY INSTITUTE, INC.","TALLAHASSEE, Florida",Non-Profit,CHAIRMAN,3/2012,8/2016
"White House/Bannon, Steve",2,"BANNON STRATEGIC ADVISORS, INC.","LOS ANGELES, California",Corporation,PRESIDENT,6/2005,Present
"White House/Bannon, Steve",3,"BANNON FILM INDUSTRIES, INC.","LOS ANGELES, California",Corporation,PRESIDENT,11/1990,Present
"White House/Bannon, Steve",4,"BREITBART NEWS NETWORK, LLC","LOS ANGELES, California",LLC,EXECUTIVE CHAIRMAN,1/2012,8/2016
"White House/Bannon, Steve",5,"CAMBRIDGE ANALYTICA, LLC","WASHINGTON, District of Columbia",LLC,VICE-PRESIDENT AND SECRETARY,6/2014,8/2016
"White House/Bannon, Steve",6,"GLITTERING STEEL, LLC","ARLINGTON, Virginia",LLC,CHAIRMAN,6/2015,8/2016
"White House/Bannon, Steve",7,"RECLAIM NEW YORK, INC.","NEW YORK, New York",Non-Profit,VICE-CHAIRMAN,11/2013,8/2016
"White House/Bannon, Steve",8,"VICTORY FILM GROUP, LLC","LOS ANGELES, California",LLC,MANAGER,2/2012,Present
"White House/Bannon, Steve",9,"VICTORY FILM PROJECT, LLC","TALLAHASSEE, Florida",LLC,MANAGER,12/2010,Present
"White House/Bannon, Steve",10,"VFP II, LLC","TALLAHASSEE, Florida",LLC,MANAGER,12/2010,Present
"White House/Bannon, Steve",11,"VFP III, LLC","TALLAHASSEE, Florida",LLC,MANAGER,2/2011,Present
"White House/Bannon, Steve",12,"VFG V, LLC","LOS ANGELES, California",LLC,MANAGER,3/2012,Present
"White House/Bash, Zina G ",1,McAllen Anesthesia Consultants,"McAllen, Texas",PA,Adviser,1/2015,6/2015
"White House/Bash, Zina G ",2,Cruz for President,"Houston, Texas",Non-Profit,Deputy Director of Policy and Communication s,2/2015,7/2016
"White House/Bash, Zina G ",3,Doctors Hospital at Renaissance,"Edinburg, Texas",Limited Partnership,Executive Vice President,8/2016,1/2017
"White House/Bash, Zina G ",4,"Trump for America, Inc.","Washington, D.C., District of Columbia",Non-Profit,Department of Justice Landing Team Member,11/2016,1/2017
"White House/Berkowitz, Avrahm J",1,Gibson Dunn,"New York, New York",Law Firm,Summer Associate,6/2015,8/2015
"White House/Berkowitz, Avrahm J",2,Harvard College,"Cambridge, Massachusetts",University/Colle ge,Teaching Fellow,9/2015,5/2016
"White House/Berkowitz, Avrahm J",3,Donald J. Trump for President,"New York, New York",Corporation,Assistant Director of Data Analytics,8/2016,Present
"White House/Berkowitz, Avrahm J",4,"Trump for America, Inc.","Washington, District of Columbia",Non-Profit,Assistant,11/2016,1/2017
"White House/Blase, Brian C",1,Mercatus Center at George Mason University,"Arlington, Virginia",Non-Profit,Sr. Research Fellow,8/2015,Present
"White House/Bossert, Thomas",1,"Civil Defense Solutions, LLC","Arlington, Virginia",Sole Proprietorship,Proprietor,6/2009,1/2017
"White House/Bremberg, Andrew",1,"Right Policy, LLC","Alexandria, Virginia",LLC,Manager,11/2015,1/2017
"White House/Burnham, James M",1,Eloise Vopata Burnham Irrevocable Trust,"Phoenix, Arizona",Trust,Co-Trustee,1/2014,Present
"White House/Burnham, James M",2,Jones Day,"Washington, District of Columbia",Law Firm,Associate,10/2010,Present
"White House/Cairncross, Sean",1,Holtzman Vogel Josefiak Torchinsky,"Warrenton, Virginia",Law Firm,Partner,6/2013,1/2017
"White House/Cairncross, Sean",2,Vogelhood Research,"Washington, District of Columbia",Corporation,General Counsel,4/2014,1/2017
"White House/Cairncross, Sean",3,Republican National Committee,"Washington, District of Columbia",Non-Profit,COO,7/2015,1/2017
"White House/Carroll, James W ",1,"Trump for America, Inc","Washington, District of Columbia",Non-Profit,Counsel,12/2016,1/2017
"White House/Carroll, James W ",2,Ford Motor Company,"Washington, District of Columbia",Corporation,Washington Counsel,1/2006,10/2016
"White House/Carroll, James W ",3,Alexandria Floral Co.,"Alexandria, Virginia",Corporation,Vice President,10/1980,Present
"White House/Carroll, James W ",4,"Widener University, School of Law","Wilmington, Delaware",University/Colle ge,Adjunct Professor,8/2015,12/2016
"White House/Castillo, Andeliz N",1,Americans For Prosperity,"Arlington, Virginia",Non-Profit,Senior Vice President of Grassroots Business Integration,10/2016,1/2017
"White House/Castillo, Andeliz N",2,The Libre Initiative,"Arlington, Virginia",Non-Profit,Chief Operating Officer and Chief of Staff,4/2012,10/2016
