file,#,description,eif,value,income-type,income-amount
"Environmental Protection Agency/Greaves, Holly",4,Greaves and Wu Capital Account,N/A,"$15,001 - $50,000",,None (or less than $201)
"Environmental Protection Agency/Kreutzer, David",1,Marymount University,N/A,,salary,"$169,694"
"Environmental Protection Agency/Kreutzer, David",2,TIAA Traditional annuity,No,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",3,TIAA Real Estate,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Kreutzer, David",4,CREF Stock R2,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",5,AF EuroPacific Growth R5,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",6,Vang 500 Idx Adm,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",7,John Hancock DiscipVal R5,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Kreutzer, David",8,Goldman Sachs SmCpV Inst,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",9,MFS Mid Cap Value R6,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",10,Vang Ttl Intl Stk Idx Adm,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Munoz, Charles",1,Orthopedic Motion Inc.,,,salary,
"Environmental Protection Agency/Schwab, Justin",1,Roth IRA - Vanguard. All in Vanguard Value Index Fund Admiral Shares (VVIAX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Federal Communications Commission/Roddy, Carolyn",1,St. Andrew and St. Margaret Anglican Catholic Church,N/A,,"salary, bonus",
"Federal Communications Commission/Roddy, Carolyn",2,Wells Fargo Wealth Builder Moderate Balanced Fund,N/A,"$15,001 - $50,000",Dividends Capital Gains,"$1,001 - $2,500"
"Federal Communications Commission/Roddy, Carolyn",3,Wells Fargo Wealth Builder Moderate Balanced Fund,N/A,"$15,001 - $50,000",Capital Gains Interest,"$1,001 - $2,500"
"Office of the U.S. Trade Representative/Feit, Yecheil",1,Bortstein Legal Group (Law firm),N/A,,salary,
"Office of the U.S. Trade Representative/Feit, Yecheil",2,Mark Mermell (Law firm),N/A,,salary,
"Office of the U.S. Trade Representative/Feit, Yecheil",3,American Funds The Growth Fund of America (GFFFX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",4,BlackRock Lifepath Index 2025 Fund (LIBIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Office of the U.S. Trade Representative/Feit, Yecheil",5,American Funds Washington Mutual Investors Fund (WMFFX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",6,Wells Fargo Special Mid Cap Value Fund (WFMIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",7,iShares S&P SmallCap 600 Growth ETF (IJT),Yes,"$1,001 - $15,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",8,Pax Small Cap Fund (PXSIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",9,MFS International Value Fund (MINIX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",10,Vanguard Short-Term Corporate Bond ETF (VCSH),Yes,"$50,001 - $100,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",11,IDT Corp stock (IDT),N/A,"$1,001 - $15,000",Dividends Capital Gains,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",12,T. Rowe Price Retirement 2025 Fund (TRRHX),Yes,"None (or less than $1,001)",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",1,"American Business Collaborative, LLC",,,Salary,
"Senate-confirmed/Carson, Benjamin",1.1,HarperCollins Christian Publishing: Title: America The Beautiful: Rediscovering What Made This Nation Great (value not readily ascertainable),N/A,,Rent or Royalties,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",1.2,"American Business Collaborative, LLC 401k Plan",,,,
"Senate-confirmed/Carson, Benjamin",1.2.1,Harbor International Fund,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Carson, Benjamin",1.2.2,Invesco Convertible Securities Fund,Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Carson, Benjamin",1.2.3,Schwab Advisor Cash Reserves Fund - Premier Sweep Share,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Chao, Elaine L",1,The Long Game: A Memoir - Penguin Random House LLC - Value not readily ascertainable,N/A,,Book Advances,"$145,000"
"Senate-confirmed/Chao, Elaine L",2,Bank of America - IRA Cash Account,N/A,"$15,001 - $50,000",Interest,None (or less than $201)
"Senate-confirmed/Chao, Elaine L",3,SCPB - SPDR Barclays Short Term Corp Bd ETF,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Chao, Elaine L",4,VCSH - Vanguard Short-Term Corporate Bond ETF,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Chao, Elaine L",5,IWM - iShares Russell 2000,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Chao, Elaine L",6,VO - Vanguard Mid-Cap ETF,Yes,"$15,001 - $50,000",,"$15,001 - $50,000"
"Senate-confirmed/Chao, Elaine L",7,SPY - SPDR  S&P 500 ETF,Yes,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",1,RDV Corporation,N/A,,Chairman Fees,
"Senate-confirmed/DeVos, Elisabeth P",2,Richard M. DeVos IRA (Wells Fargo Custody),,,,
"Senate-confirmed/DeVos, Elisabeth P",2.1,Prudential Invt Portfolios Inc Balanced Fund CL A PIBAX,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",3,Amway RSP 401(k) (Fidelity Custody),,,,
"Senate-confirmed/DeVos, Elisabeth P",3.1,Fidelity 500 Index Institutional Fund,Yes,"$500,001 - $1,000,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",3.2,Vanguard Mid-Cap Index Fund,Yes,"$500,001 - $1,000,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",3.3,Vanguard Small-Cap Index Fund,Yes,"$250,001 - $500,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",3.4,Harbor International Fund,Yes,"$500,001 - $1,000,000",,None (or less than $201)
"Senate-confirmed/DeVos, Elisabeth P",3.5,Templeton Global Bond Fund,Yes,"$500,001 - $1,000,000",,None (or less than $201)
"Senate-confirmed/Green, Mark Andrew",1,Falls Church Osteopathic Medicine (Medical Office),N/A,,"salary, bonus",
"Senate-confirmed/Green, Mark Andrew",2,American Funds Roth IRA Capital Income Bldr,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Green, Mark Andrew",3,American Funds Roth IRA Growth Fund of America,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Green, Mark Andrew",4,Rollover IRA - American Funds Washington Mutual Investors Fund Cl A (AWSHX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Hassett, Kevin A",1,Vanguard Morgan Growth Fund,Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
"Senate-confirmed/Kan, Derek T",1,California State Attorney General's Office,N/A,,salary,
"Senate-confirmed/Kelly, John F",1,Franklin Corfolio Allocation Fund (IRA and Roth IRA),Yes,"None (or less than $1,001)",,"$5,001 - $15,000"
"Senate-confirmed/Kelly, John F",2,U.S. bank money market account (cash),N/A,"$50,001 - $100,000",Interest,"$201 - $1,000"
"Senate-confirmed/Long, William B",1,"Viewmont Pharmacy, Hickory NC",N/A,,Salary,
"Senate-confirmed/Mulvaney, John M",1,Van Eck Global Hard Assets A Fund (GHAAX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Mulvaney, John M",2,American Funds Capital World Growth and Income Fund (CWGIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Mulvaney, John M",3,Putnam International Growth A Fund (PINOX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Mulvaney, John M",4,Van Eck International Investors Gold Fund A (INIVX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Mulvaney, John M",5,"Key West, LLC (residential real estate, Key West, Florida)",No,"$100,001 - $250,000",Rent or Royalties,"$1,001 - $2,500"
"Senate-confirmed/Mulvaney, John M",6,"Qualified Personal Residence Trust (residential real estate, Key West, Florida).",N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Mulvaney, John M",7,"The Mulvaney Group Limited (undeveloped parcels in the vicinity of Charlotte, North Carolina)",No,"$250,001 - $500,000",Capital Gains,"$50,001 - $100,000"
"Senate-confirmed/Patenaude, Pamela H",1,"Dougherty Mortgage, LLC (Multifamily Mortgage (Debt Financing))",N/A,,"salary, bonus",
"Senate-confirmed/Patenaude, Pamela H",2,Dougherty Financial Group LLC Employee 401K Plan (Charles Schwab),No,,,
"Senate-confirmed/Patenaude, Pamela H",2.1,BlackRock US Opportunites,Yes,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.2,Schwab S&P 500 Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.3,Vanguard Growth Index Admiral,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.4,Vanguard Value Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.5,Schwab Fundamental US Small Co,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.6,Vanguard Mid Cap Value Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.7,Vanguard Small Cap Value Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.8,Schwab Fundamental Intl Small Co,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.9,Schwab International Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.10,Vanguard Emerging Mkt Stock,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.11,Vanguard REIT Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.12,Schwab Treasury Infl Protected Sec,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.13,Vanguard Interm Term Govt Bond Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.14,Vanguard Short Term Bond  Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.15,Vanguard Total Bond Market Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",2.16,Cash Account,N/A,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3,(S) McAdam Individual Retirement Account,No,,,
"Senate-confirmed/Patenaude, Pamela H",3.1,Fidelity Gov't Money Market Capital Reserve,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.2,Fidelity Advisor Energy,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.3,BlackRock Real Estate Sec Inv A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.4,BlackRock High Yield Bond,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.5,Fidelity Advisor Strategic Income,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.6,BlackRock Equity Dividend A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.7,Fidelity Advisor Small Cap A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.8,BlackRock Intl Opportunities A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.9,BlackRock Large Cap Core,Yes,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.10,BlackRock US Opportunities Inv A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",3.11,Fidelity Advisor New Insights  A,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",4,(S) McAdam Roth IRA,No,,,
"Senate-confirmed/Patenaude, Pamela H",4.1,Fidelity Advisor Small Cap A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Patenaude, Pamela H",4.2,Fidelity Advisor New Insights A,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Perdue, George E",1,Roth IRA,No,,,
"Senate-confirmed/Perdue, George E",1.1,JP Morgan Income Builder Fund Cl C (JNBCX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1,SEP Plan,,,,
"Senate-confirmed/Perry, James Richard",1.1,AT&T Inc - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1.2,Energy Transfer Equity LP - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1.3,Federated Money Market,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Perry, James Richard",1.4,Enterprise Products Partners LP - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1.5,Microsoft Corp - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1.6,Splunk Inc. - common stock,N/A,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Perry, James Richard",1.7,Sunoco Logistics Partners LP - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",1.8,"Tesla Motors, Inc. - common stock",N/A,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Perry, James Richard",1.9,Verizon Communications Inc - common stock,N/A,"$1,001 - $15,000",Dividends,"$201 - $1,000"
"Senate-confirmed/Perry, James Richard",2,Texas Association Against Sexual Assault,N/A,,salary,
"Senate-confirmed/Pompeo, Michael R",1,DFA International Small Cap Value DISVX,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Pompeo, Michael R",2,IVY International Core Equity,Yes,"None (or less than $1,001)",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",3,JP Morgan Large Cap,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Pompeo, Michael R",4,Vanguard Growth Index ADM,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",5,Dodge & Cox Income DODIX,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",6,Goldman Sachs High Yield GSHIX,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",7,Palmer Square Income Plus,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Pompeo, Michael R",8,DFA US Large Cap Value 1,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",9,T Rowe Price Mid Cap Growth,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Pompeo, Michael R",10,Salient MLP Energy Infrastructure 2 Class 1,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",11,Vanguard Reit Index ADM,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",12,Doubleline Total Return Bond 1,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",13,Principal Preferred Securities Inst,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",14,Vanguard Intermediate Bond Index Term,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",15,Delaware Value,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Pompeo, Michael R",16,DFA US Small Cap,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Pompeo, Michael R",17,Lazard US Corporate Income,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",1,State of Georgia,N/A,,Salary,
"Senate-confirmed/Price, Thomas E",2,City of Roswell,N/A,,Salary,
"Senate-confirmed/Price, Thomas E",3,Fidelity IRA,No,,,
"Senate-confirmed/Price, Thomas E",3.1,Fidelity Total Bond (FTBFX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",3.2,Cohen & Steers Realty Instl (CSRIX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",3.3,Credit Suisse Commodity Return Strategy I (CRSOX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.4,Fidelity Government Cash Reserves (FDRXX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.5,Fidelity Advisor Diversified Intl Instl (FDVIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.6,First Eagle Overseas I (SGOIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.7,JP Morgan Research Market Neutral Fund Class L (JPMNX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.8,Merger Fund Instl (MERIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.9,MFS Value I (MEIIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.10,Oppenheimer Developing Markets I (ODVIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.11,Victory Global Natural Resources Y (RSNYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.12,Victory RS Select Growth Y (RSSYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",3.13,Westcore SmallCap Value Instl (WISVX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",3.14,Wells Fargo Absolute Return Instl (WABIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4,Fidelity IRA Rollover,No,,,
"Senate-confirmed/Price, Thomas E",4.1,BlackRock Strategic Income Opportunities Portfolio Institutional Shares (BSIIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",4.2,Credit Suisse Commodity Return Strategy I (CRSOX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.3,Fidelity Government Cash Reserves (FDRXX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.4,Fidelity Advisor Diversified Intl Instl (FDVIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.5,Fidelity Total Bond (FTBFX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",4.6,First Eagle Overseas I (SGOIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.7,Goldman Sachs Strategic Income Instl (GSZIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",4.8,JP Morgan Research Market Neutral Fund Class L (JPMNX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.9,Merger Fund Instl (MERIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.10,MFS Value I (MEIIX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",4.11,Oppenheimer Developing Markets I (ODVIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.12,RiverPark Wedgewood Instl (RWGIX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.13,Victory RS Select Growth Y (RSSYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",4.14,Vanguard Global ex-US Real Estate Index (VNQI),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",4.15,Westcore SmallCap Value Instl (WISVX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",4.16,Westcore Plus Bond Instl (WIIBX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",4.17,Cohen & Steers Realty (CSRSX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5,Fidelity IRA SEP,No,,,
"Senate-confirmed/Price, Thomas E",5.1,BlackRock Strategic Income Instl (BSIIX),Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Price, Thomas E",5.2,Brandes Intl Small Cap Equity I (BISMX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.3,Cohen & Steers Realty Instl (CSRIX),Yes,"$15,001 - $50,000",,"$5,001 - $15,000"
"Senate-confirmed/Price, Thomas E",5.4,Credit Suisse Commodity Return Strategy I (CRSOX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.5,Fidelity Government Cash Reserves (FDRXX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.6,Fidelity Total Bond (FTBFX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.7,Fidelity Advisor Diversified Intl Instl (FDVIX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.8,First Eagle Overseas I (SGOIX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.9,Goldman Sachs Strategic Income Instl (GSZIX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.10,iShares Russell 2000 Growth (IWO),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.11,iShares Russell 2000 Value Index (IWN),Yes,"$1,001 - $15,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.12,JP Morgan Market Neutral Instl (JPMNX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.13,Merger Fund Instl (MERIX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.14,MFS Value I (MEIIX),Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Price, Thomas E",5.15,Oppenheimer Developing Markets I (ODVIX),Yes,"$50,001 - $100,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.16,PIMCO Low Duration Instl (PTLDX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.17,RiverPark Wedgewood Instl (RWGIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.18,Vanguard Global ex-US Real Estate Index (VNQI),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.19,Vanguard Growth (VUG),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.20,Vanguard REIT Index ETF (VNQ),Yes,"$1,001 - $15,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.21,Vanguard Value (VTV),Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Price, Thomas E",5.22,Victory Global Natural Resources Y (RSNYX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Price, Thomas E",5.23,Victory RS Select Growth Y (RSSYX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.24,Wells Fargo Adv Short Duration Govt Bond I (WSGIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.25,Westcore Plus Bond Fund  Instl (WIIBX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.26,Westcore SmallCap Value Dividend Fund Instl (WISVX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.27,WisdomTree Emerging Mkts Small Cap Divs (DGS),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.28,Wells Fargo Absolute Return Instl (WABIX),Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.29,Brandes Intl Small Cap Equity A (BISAX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",5.30,Goldman Sachs Strategic Income Fund Class A (GSZAX),Yes,"None (or less than $1,001)",,"$2,501 - $5,000"
"Senate-confirmed/Price, Thomas E",5.31,iShares Russell 1000 Growth (IWF),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.32,iShares Russell 1000 Value (IWD),Yes,"None (or less than $1,001)",,"$1,001 - $2,500"
"Senate-confirmed/Price, Thomas E",5.33,Pear Tree Polaris Foreign Value (QFVOX),Yes,"None (or less than $1,001)",,"$201 - $1,000"
"Senate-confirmed/Price, Thomas E",6,Chattahoochee Associates LP,N/A,,Management Fees,
"Senate-confirmed/Rosen, Jeffrey A",1,Roth IRA: Vanguard Total Stock Mkt Index Fund,Yes,"$100,001 - $250,000",,"$1,001 - $2,500"
Senate-confirmed/Ross Wilbur L,1,Powerhouse Cultural Entertainment (value not readily ascertainable),N/A,,Rent or Royalties,"$1,001 - $2,500"
Senate-confirmed/Ross Wilbur L,2,Dreyfus Government Cash Mgmt Admin,Yes,"Over $1,000,000",,None (or less than $201)
Senate-confirmed/Ross Wilbur L,3,Amphenol Corp CL A,N/A,"$250,001 - $500,000",Dividends,"$2,501 - $5,000"
Senate-confirmed/Ross Wilbur L,4,Atara Biotherapeutics Inc Com,N/A,"$15,001 - $50,000",,None (or less than $201)
Senate-confirmed/Ross Wilbur L,5,Boeing Co.,N/A,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
Senate-confirmed/Ross Wilbur L,6,CDW Corp Com USD0.01,N/A,"$250,001 - $500,000",Dividends,"$2,501 - $5,000"
Senate-confirmed/Ross Wilbur L,7,CME Group Inc.,N/A,"$250,001 - $500,000",Dividends,"$5,001 - $15,000"
