file,part,#,endnote
"Senate-confirmed/DeVos, Elisabeth P",6,20.6.2,"LMF WF Portfolio II, LLC holds investments obtained through Madison Capital Funding.  Madison Capital Funding is a debt capital provider supporting middle market focused private equity sponsors with cash flow based corporate finance products. The investments held by LMF WF Portfolio II, LLC include: Abrasive Products & Equipment, LLC (APE) - Abrasive Products & Equipment, LLC sells, services, and rents surface preparation, safety, and environmental management products. Accella Holdings LLC - Accella Performance Materials Inc., through its subsidiaries, manufactures custom formulated polyurethane systems and recycled rubber products. ACP Insurance LLC - ACP Insurance LLC is an insurance provider in the United States APCO Holdings - APCO Holdings, Inc. provides marketing and administration of vehicle service contracts. Apex Analytix, Inc. - APEX Analytix, LLC delivers audit services and technology to retail and commercial clients, and connects suppliers to customers worldwide. Aspeq Heating Group LLC - ASPEQ Heating Group LLC, through its subsidiaries, designs and manufactures electric heating and thermal management equipment and controls for commercial, industrial, transportation, and marine markets in North America. AWP, Inc. - AWP, Inc., doing business as Area Wide Protective Inc., provides traffic control solutions to utilities, municipalities, and private contractors throughout the Eastern United States. Badger Sportswear Acquisition, Inc. - Badger Sportswear, Inc. manufactures sports apparel for men, women, and youth. Barcodes LLC - Barcodes, Inc. supplies barcode, mobile computing, and RFID solutions in North America. Behavioral Health Group - Behavioral Health Group, Inc. operates treatment centers that provide opioid addiction treatment services to patients. BHS Hospital Services Inc - BHS Hospital Services, Inc. provides outsourced revenue cycle management solutions to hospitals. Bowles Fluidics Corporation - Bowles Fluidics Corporation develops and manufactures fluid distribution products for automotive and non-automotive markets worldwide. Brandmuscle, Inc. - BrandMuscle Inc. provides Web-based local marketing software and services to brands and their affiliates in the United States and internationally. Brass Smith Innovations, LLC - Brass Smith, Inc. provides products for the food service environments. Captive Resources Midco LLC - Capitive Resources, LLC is a business consulting company focused on insurance cost control and safety and loss prevention Caring Brands International - Caring Brands International Inc. is a holding company and through its subsidiaries offers in-home medical and non-medical care services. Chauvet & Sons, LLC - Chauvet & Sons, Inc., doing business as CHAUVET, engages in the development, manufacture, and sale of LED lighting products for entertainment and architectural lighting markets. Checkers Industrial Products, LLC. - Checkers Industrial Safety Products, Inc. manufactures industrial safety products. Chesapeake Research Review, LLC - Chesapeake Research Review, Inc., doing business as Chesapeake IRB, offers independent institutional review board services for pharmaceutical companies, universities, individual researchers, academic medical centers, and community hospitals in the United States. CIBT Holdings, Inc. - CIBT Holdings, Inc. operates as a holding company. The Company, through its subsidiaries, offers travel document processing services. CIBT Holdings specializes in travel visas and passports serving individual travelers, multinational corporations, tour operators, and cruise lines. CSI Financial Services, LLC - CSI Financial Services LLC provides patient loan programs in the United States. Dorner MFG, Corp. - Dorner Mfg. Corp. designs, manufactures, and integrates conveyor systems and accessories. Dwyer Acquisition Parent, Inc. (Dwyer Group) - The Dwyer Group, Inc., together with its subsidiaries, provides commercial and residential restoration and cleaning services. E+ Healthcare LLC - e+CancerCare develops, builds, and operates a network of outpatient cancer care centers in the United States. Engage2Excel, Inc. (fka Tharpe Company, Inc) - Engage2Excel, Inc. provides managed employee reward and recognition programs. Evanston Capital Management, LLC - Evanston Capital Management, LLC (“ECM”) is an alternative investment management firm focused on providing multi-manager hedge fund programs for institutional and high net worth investors. Expedited Travel, LLC - Expedited Travel, LLC provides passport and travel visa expediting services in the United States. Forefront Management Holdings, LLC - Forefront Management Holdings provides physician and practice management services. Gabriel Performance Products, LLC - Gabriel Performance Products, LLC manufactures a line of specialty proprietary products and custom manufactured chemicals that are used in products across a range of industries. Global Software, LLC - Global Software, Inc. provides Microsoft Excel based automation and reporting software solutions for improving business intelligence (BI), enterprise resource planning (ERP), and other operational platforms worldwide. Handi Quilter, Inc. - Handi Quilter, Inc. manufactures and sells mid arm and long arm quilting machines. Hero DVO, LLC - Hero DVO, LLC d/b/a Hero Practice Services LLC provides dental, vision, and orthodontic services to underserved children. Hero Practice Services LLC was founded in 2006 and is based in Colorado Springs, Colorado. Higginbotham Insurance Agency - Higginbotham & Associates LLC provides insurance agency services to customers throughout Texas. Hilsinger Company - The Hilsinger Company Inc., doing business as Hilco Vision, manufactures eye wear and eye care accessories, supplies, and equipment. Himagine Solutions, Inc. - himagine solutions, Inc. provides professional staffing and consultative services to support health information management (HIM), revenue cycle, and health information technology initiatives for healthcare providers. Huskie Tools, LLC - Huskie Tools, Inc. designs and develops cutting and compression tools for the electric utility industry in North America. ICM Products Inc - ICM Products, Inc. engages in the manufacturing of chemicals. ICP Industrial, Inc. (National Industrial Coatings, Inc) - National Industrial Coatings, Inc., doing business as Nicoat Inc., manufactures aqueous, UV/EB, and specialty coatings for printing projects. Innovative Aftermarket Systems L.P. - Innovative Aftermarket Systems, L.P. provides various products and solutions to finance and insurance (F&I) departments of automotive dealerships. International Medical Group, Inc. - International Medical Group, Inc., along with its subsidiaries, designs, distributes, and administers medical insurance plans worldwide. Interstate Hotels & Resorts, Inc. - Interstate Hotels & Resorts, Inc., together with its subsidiaries, operates as a hotel real estate investor and independent hotel management company. J.S. HELD LLC - J.S. Held, LLC provides consulting, project management, and expert services to the construction industry in the United States. Kestra Financial, Inc. - Kestra Financial, Inc. provides registered investment advisor and broker/dealer services. Long's Drugs Incorporated - Long's Drugs Inc. owns and operates a chain of pharmacy stores in South Carolina, Georgia, and North Carolina. MarketCast Holdings, LLC - MarketCast LLC provides research-based marketing consultancy services to marketers and researchers in the global entertainment industry. Medical Solutions LLC - Medical Solutions L.L.C. operates as an interim clinical staffing company in the United States. Miller Environmental Services, LLC - Miller Environmental Services, Inc. provides environmental solutions and industrial services to industrial, commercial, institutional, and energy-related entities. Mold-Rite Plastics, LLC - Mold-Rite Plastics, LLC manufactures rigid plastic packaging components for nutritional, pharmaceutical, household, automotive, personal care, food, and beverage markets around the globe. MTC Intermediate Holdco, Inc. - MTC Intermediate Holdco, Inc. d/b/a Millenium Trust Company is a financial services company offering alternative custody solutions to institutions, advisors, and individuals N2Y, LLC - n2y LLC provides cloud-based learning services for special education. Naylor, LLC - Naylor, LLC develops communications strategy, content, print, digital, video, event management, advertising, sponsorship and exhibit sales, custom research, and career center solutions. NDC Purchaser Corp. - NDC, Inc. is a business services provider to the healthcare industry specializing in contract administration and rebate processing Nellson Nutraceutical, LLC - Nellson Nutraceutical, LLC operates as a third party manufacturer and provider of nutrition bars, nutritional powders, and healthy snacks. NGL Acquisition, LLC - NGL Energy Partners LP, through its subsidiaries, engages in the crude oil logistics, water solutions, liquids, retail propane, and refined products and renewables businesses in the United States. North American Protection And Control, LLC (NASS) - North American Protection and Control (NAPC) is an independent provider of protection and control services to the electric utility industry throughout the United States North Haven CA Holdings, Inc - North Haven CA Holdings, Inc d/b/a CoAdvantage, Inc. is a professional employer organization providing human resource solutions for small and medium-sized businesses in the United States OnePath Systems, LLC - Onepath Systems, LLC provides business, data center, and building technology solutions in the United States. Pegasus Transtech Holding, LLC - Pegasus TransTech Corporation develops and provides document management and integrated document delivery solutions to streamline billing, collections, payroll, accounts payable, driver qualifications, and other paper-intensive processes for the trucking industry. Product Quest Manufacturing, LLC - Product Quest Manufacturing, LLC manufactures over-the-counter health and beauty care products on a contract basis. PSI Services LLC - PSI Services LLC provides pre-employment testing, licensure, and certification testing solutions to corporations, professional associations, and government regulatory agencies in North America. Reliant Pro Rehab, LLC - Reliant Pro Rehab, LLC offers rehabilitation services to alcoholics. Revenew Purchaser LLC - Revenew, Inc. operates a through-channel marketing automation platform that enables enterprise brands and their channel partners to market together. RLJ-Envirovac Acquisition, Inc. - Envirovac provides industrial cleaning and environmental services. Ronnoco Coffee Company - Ronnoco Coffee, LLC roasts, blends, grinds, packages, and distributes coffee and tea. Schulman Associates IRB, Inc - Schulman Associates IRB, Inc. is an institutional review board (IRB)/research ethics board that reviews clinical research involving human subjects. SH Franchising, LLC - SH Franchising, LLC, an in-home senior care company, connects professional caregivers with seniors who wish to live at home as opposed to a nursing or assisted living facility in the United States and Canada. Shock Doctor, Inc. - Shock Doctor Holdings, LLC operates in the retailing industry. Southwest Dealer Services, Inc. - Southwest Dealer Services, Inc. provides car protection products, and training and consulting services to auto dealers in the United States. SP Lab Equipment, LLC - SP Lab Equipment, LLC designs, manufactures, and distributes analytical laboratory equipment. Stratose Intermediate Holdings II LLC - Stratose Intermediate Holdings II LLC is a leading provider of out-of-network claims cost management solutions The Hilb Group, LLC - The Hilb Group, LLC provides insurance brokerage services in the United States. Tooling Technology, LLC - Tooling Technology, LLC supplies cast aluminum thermoform tooling products. Trinity Consultants, Inc. - Trinity Consultants, Inc. is an environmental consulting company that specializes in industrial air quality issues. Vention Medical, Inc. (MedTech) - Vention Medical, Inc. engages in the design, engineering, and manufacture of medical devices and components in the United States, Puerto Rico, and Costa Rica. VT Buyer Acquisition Corp - VT Buyer Acquisition Corp. provides commercial services. The Company operates in the United Kingdom and the United States Worldwide Facilities, LLC - Worldwide Facilities, LLC operates as an insurance wholesale broker and managing general agent in the United States. Young Innovations, Inc. - Young Innovations, Inc., together with its subsidiaries, engages in the development, manufacture, and marketing of supplies and equipment used by dentists, dental hygienists, dental assistants, and consumers in the United States, Canada, Europe, South America, Central America, and the Pacific Rim. Z-Medica, LLC - Z-Medica Corporation, a medical device company, manufactures and distributes haemostasis agents. DWH Merger Sub 2, Inc. provides automotive refurbishment services to customers in the Dealer, Auction, and Rental channels. GC Waves Merger Sub Inc. is a national RIA Platform providing wealth management services to over 4,200 individual clients. JTM Holdings LLC is a manufacturer of snack pies, selling through its JJ'S Bakery brand, private label, and co-manufacturing relationships. Policy Services Acquisition, Inc. is a non-standard auto insurance managing general agent primarily serving southern Florida. Westminster Acquisition LLC manufactures food products, including oyster crackers, horseradish, mustard, and other condiments."
"Senate-confirmed/DeVos, Elisabeth P",6,20.7.2,(Home Improvement)
"Senate-confirmed/DeVos, Elisabeth P",6,20.8,"RDV Genmar Holdings LLC holds an installment loan from an individual with the last name of Nicholson that is related to the sale of an investment in Genmar Holdings, Inc."
"Senate-confirmed/DeVos, Elisabeth P",6,20.9.1,"RDV Genmar Holdings LLC holds an installment loan from an individual with the last name of Nicholson that is related to the sale of an investment in Genmar Holdings, Inc."
"Senate-confirmed/DeVos, Elisabeth P",6,20.11,MVP Sports Clubs is a sports and health facility management and development company with operations in Central Florida and West Michigan.
"Senate-confirmed/DeVos, Elisabeth P",6,20.12,"MVP Sportsplex-GR, LLC owns and operates an athletic club in Grand Rapids, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,20.13,"Orlando Sportsplex, Inc. is the general partner for Orlando Sportsplex, Ltd., which owns and operates a facility in Maitland, FL, that includes an athletic facility, two ice rinks, and commercial and medical office space."
"Senate-confirmed/DeVos, Elisabeth P",6,21,"RDV Sports, Inc. is the general partner for the Orlando Magic NBA franchise and an investor in other sports interests separately reported in Part 6.  It also holds skybox leases In Grand Rapids, MI, and Orlando, FL, and cash on deposit with a U.S. bank."
"Senate-confirmed/DeVos, Elisabeth P",6,22,"RDV Staffing, Inc. engages in the business of being a common paymaster for employees of the DeVos family and related entities."
"Senate-confirmed/DeVos, Elisabeth P",6,23,"RAV Publishing, LLC owns the rights to a book authored by Dick DeVos entitled ""Rediscovering American Values."""
"Senate-confirmed/DeVos, Elisabeth P",6,24.2,"Alsentis, LLC designs and produces innovative and disruptive touch technology solutions"
"Senate-confirmed/DeVos, Elisabeth P",6,24.3,"Antrim Holdings, LLC is a real estate holding company that manages a recreational development in Mancelona, MI, intended for campers, snowmobilers, etc."
"Senate-confirmed/DeVos, Elisabeth P",6,24.4,"REDV Family Limited Partnership holds an equity interest and note receivable from Camp Manna, LLC, which is engaged in the business of producing, distributing, and selling the motion picture titled ""Camp Manna."""
"Senate-confirmed/DeVos, Elisabeth P",6,24.5,"The interest income reported for this asset pertains to a convertible note that was held by REDV Family Limited Partnership in an entity that merged with and into Deliv, Inc.  The convertible note was cancelled in connection with the merger transaction. (Trucking)"
"Senate-confirmed/DeVos, Elisabeth P",6,24.6,"REDV Family Limited Partnership holds an equity interest and note receivable from Epic Development Group, LLC which is a residential real estate holding company that manages a property in Creswell, MI on the A-Ga-Ming Golf Resort"
"Senate-confirmed/DeVos, Elisabeth P",6,24.8,"REDV Family Limited Partnership holds a note receivable from Kairos AR, Inc. (application software)"
"Senate-confirmed/DeVos, Elisabeth P",6,24.9,(Independent Power Producers & Energy Traders)
"Senate-confirmed/DeVos, Elisabeth P",6,24.1,"Neurocore, LLC specializes in data-driven, brain-based diagnostics and treatments that help children and adults improve concentration, sleep better, and manage stress"
"Senate-confirmed/DeVos, Elisabeth P",6,24.11,"REDV Family Limited Partnership holds an equity interest and note receivable from OXX, Inc., which produces ruggedized, portable coffee makers"
"Senate-confirmed/DeVos, Elisabeth P",6,24.12,"REDV Family Limited Partnership holds note receivables from RC Investors, LLC  a holding company for distillers & vintners"
"Senate-confirmed/DeVos, Elisabeth P",6,24.13,"This investment was liquidated in early January, 1017."
"Senate-confirmed/DeVos, Elisabeth P",6,24.14,"RPM Ventures III, LP is a seed and early stage venture firm that has interests in the following companies: B2B SaaS, Cloud & Social Media Infrastructure, Online Marketplaces, and Automotive IT Able Lending, Inc. is a collaborative lender platform that allows small businesses to raise funding with support from friends and family Carlypso Inc. is an online platform used to help the consumer with car shopping. Daily Pay, Inc. is a payment system aimed at employees and contractors who need payment quickly for their work. Hippo Analytics Inc. provides home insurance services using an online platform that enables homeowners and renters to obtain insurance policies. PolySync, Inc. is an advanced middleware platform designed to help build, test, and deploy safe driverless vehicle applications. Roost, Inc. is a technology company that uses Wi-Fi to keep your home smarter and safer."
"Senate-confirmed/DeVos, Elisabeth P",6,24.15,This investment has been sold.
"Senate-confirmed/DeVos, Elisabeth P",6,24.16,"Electratherm, Inc. is a manufacturer of products that convert low-grade waste heat into electricity"
"Senate-confirmed/DeVos, Elisabeth P",6,24.17,"MVN Group Investors LLC owns an interest in VenueNext Inc., which is in the business of providing technology solutions to sports venues."
"Senate-confirmed/DeVos, Elisabeth P",6,24.18,"Sewanee Partners III LP is a private equity fund.  It owns interest in cash on deposit with a U.S. bank and Latinvest Investment Co 2. LLC, which is engaged in the business of international money transfers."
"Senate-confirmed/DeVos, Elisabeth P",6,24.19.2,(Aviation Technology and Services)
"Senate-confirmed/DeVos, Elisabeth P",6,24.20.2,"VSI Holdings, LLC owns Vertellus, which is a supplier of specialty chemicals for agriculture, nutrition, plastics, personal care, and industrial markets."
"Senate-confirmed/DeVos, Elisabeth P",6,24.21.1,(personal products)
"Senate-confirmed/DeVos, Elisabeth P",6,24.22,"REDV Family Limited Partnership holds note receivables from CC Investors, LLC (Distillers & Vintners)."
"Senate-confirmed/DeVos, Elisabeth P",6,24.23.1.1,"Sestra Systems, Inc. makes innovative pour control dispensing systems for the beverage industry"
"Senate-confirmed/DeVos, Elisabeth P",6,24.24.1,(food and beverage equipment)
"Senate-confirmed/DeVos, Elisabeth P",6,24.25.1,"OfferCraft, LLC is a software company that designs games to help businesses with marketing, operations, and HR"
"Senate-confirmed/DeVos, Elisabeth P",6,24.26.1.1,"Space Exploration Technologies Corp designs, manufactures, and launches advanced rockets and spacecraft"
"Senate-confirmed/DeVos, Elisabeth P",6,24.27,"MVP Athletic Club - Grahen, LLC owns and operates an athletic club in Grand Rapids, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,24.28,"MVP Athletic Club - Holland, LLC owns and operates an athletic club in Holland, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,24.29,"MVP Athletic Club - The Villages, LLC owns and operates two athletic clubs in The Villages, which is a residential retirement development in Central Florida."
"Senate-confirmed/DeVos, Elisabeth P",6,24.3,"MVP Group Fit - Jenison, LLC owns a commercial building in Jenison, MI, in which an athletic club is expected to open in 2017."
"Senate-confirmed/DeVos, Elisabeth P",6,24.31,"REDV Family Limited Partnership holds notes receivable from Boxed Water Is Better, LLC. (Distributors)"
"Senate-confirmed/DeVos, Elisabeth P",6,24.32,REDV Family Limited Partnership holds a note receivable from Schulze Global Investments (USA) LLC.
"Senate-confirmed/DeVos, Elisabeth P",6,24.33,"CSL Downtown owns cash in a U.S. bank and commercial rental properties in the Grand Rapids, MI area through the following entities: 35 Oakes Associates, LLC Cherry Street JV, LLC 70 Ionia LLC 100 Ionia LLC 35 Oakes Master Tenant LLC Monroe Center Retail, LLC"
"Senate-confirmed/DeVos, Elisabeth P",6,24.34,"Rockford Center Holdings, LLC owns MVP Athletic Club-Rockford, LLC., which owns and operates an athletic club in Rockford, MI and connected commercial and retail rental real estate."
"Senate-confirmed/DeVos, Elisabeth P",6,24.36,"SED Enterprises owns SED Development, LLC and Orlando Development Partners XVI, LLC, which own a commercial rental property and a residential rental property as well as adjacent vacant land held for redevelopment in Orlando, FL."
"Senate-confirmed/DeVos, Elisabeth P",6,25,"REDV LLC is the GP of REDV Family Limited Partnership, and it also holds cash on deposit with a U.S. bank."
"Senate-confirmed/DeVos, Elisabeth P",6,26,"SG Fund, LLC is an early stage venture fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Companies AlSentis, LLC designs, engineers, and manufactures touch enablement microchips Local Orbit, Inc. develops software for online management of food supply between food services and organic/local food producers Silikids, Inc. produces consumer tableware out of silicone Blue Medora, Inc. develops IT analytics software for corporate IT environments Varsity News Network, Inc. develops web software for k-12 schools athletics Conpoto, Inc. is a local currency platform for chambers of commerce Sols Systems, Inc. produces custom, 3D printed shoe insoles utilizing their proprietary scanning mobile application Oxx, Inc. produces ruggedized, portable coffee makers Green Lancer Energy, Inc. facilitiates the design and fulfillment of permit-ready plan sets for the solar industry Sportsman Tracker, Inc. develops mobile apps for hunting and fishing consumers Exo, Inc. produces protein energy bars utilizing a proprietary protein powder formulated using crickets AdAdapted, Inc. develops software applications that natively place advertisement within other phone applications Benefit Mobile, Inc. is a mobile platform for purchasing electronic gift cards AOBIOME, LLC has developed bacteria based skincare products to replace soaps, deodorants, and lotions for a healthier life ResponDesign, Inc. is a telehealth company that develops software for rehabilitation services. The company was bought by Zimmer Biomet in 2016 Work Truck Solutions, Inc. develops software for light and commercial truck dealers to track inventory from build to resale Deliv, Inc. provides a same day delivery service for retail products to consumers Ginkgo Tree, Inc. develops software under the brand Skillo for corporate training and development Albright Insights, Inc. develops internal navigation (inside buildings) systems for commercial and office buildings Zferral, Inc. develops referral marketing software under the name Ambassador for brand managers G Wizicon Technologies, Inc. develops software under the name GAPro that creates a digital ecosystem for the compliance and verification process of the insurance industry Elihuu, Inc. is a platform that matches entrepreneurs with engineering and manufacturing resources Airdrop Gaming, LLC (Consumer Electronics) - liquidated in 2016 NxtMile, LLC produces youth specific insoles for sports shoes, specifically kids with Sever's Disease Eidex, LLC (Internet Software & Services) - liquidated in 2016 Breakupgoods.com, LLC was an online marketplace for used consumer goods. It has ceased operations SynOsteo, Inc. is developing a monitoring device for bone healing after a break Inc. is developing a monitoring device for bone healing after a break Verify Valid, LLC was an electronic check platform that was sold in 2015. Programax, Inc. develops software for varsity and club sport coaches to help manage their sports programs Flip Learning, LLC develops emersive educational software for university level students Kairos, Inc. develops facial recognition software for the retail marketing industry Spectacular Structures, LLC is a high capacity mobile events venue designed for year-round programming Porter & Strother, LLC developed a bike sharing software application under the name A2B Bikeshare Metamorphic Ventures (now operating under the name Compound) is an early stage venture capital fund (an EIF) Chicago Ventures is an early stage venture capital fund, which in turn has interests in the following entities: Blitsy, Inc. is an e-commerce company and community changing the way creative people worldwide buy their arts and crafts supplies BloomNation, Inc. is a trusted community marketplace for people to list, discover, and send unique floral creations by local artisans across the country. Catalyze, Inc. makes it easy to add a scalable health grade backend to mobile and web apps, mitigating compliance risk and empowering app developers with interoperable data models. Curbside, Inc. provides the most convenient way for consumers to find and pickup the products that they need from local retailers. Deliv, Inc. provides a same day delivery service for retail products to consumers. DocuSign, Inc. is a secure electronic signature application allowing documents to be distributed, signed, and authenticated electronically. Elicit, Inc. gives marketers control over the single most-used feature on a website: the search box. Food Genius is a leading foodservice data provider specializing in gathering, preparing, and serving granular foodservice menu data and analytics G2 Crowd, Inc. provides business software reviews from real users in real time. Get Smart Content, Inc. is a provider of website content optimization solutions. GetSet focuses on delivering academic and non-cognitive/ behavioral learning in a simple, engaging manner. HealthFinch, Inc. is developing a platform of applications to help doctors address inefficiencies with their workflow that are not being addressed by the current EMR solutions Kapow Events, Inc. connects companies with venues to book unique client events online in real-time. Luxury Garage Sale, LLC is Chicagoland's preeminent designer consignment business selling new and gently-used designer brand and vintage wardrobe items both online and in-store. Mobify Research and Development, Inc. develops internet sofware applications for retailers to engage with and promote to their customers. MyAlerts provides web tracking and intelligence that helps people to create their own personalized web alerts based on their interests. Opternative Inc. has developed the first online eye exam that delivers a valid prescription, signed by an ophthalmologist, for glasses and contacts lenses. Oration, Inc. radically improves the affordability and convenience of purchasing healthcare products and services for large self-insured employers by connecting buyers and suppliers of healthcare. Overdog, Inc. is a matchmaking platform that connects online gamers based on their shared interests in sports, movies, music, games, and entertainment. Pangea provides a multi-platform solution to send money to anyone, from anywhere, at any time, using web, mobile and retail locations around the world. Pluto.TV is an 24/7, free, online video platform that offers a new way to experience the most entertaining and engaging content on the web. RETROFIT Inc. is a data-driven weight loss company that arms its clients with wireless data collection devices to ensure accountability, as well as a personal team of wellness experts to design a tailor-made plan for weight management. Shiftgig Inc. is a professional networking platform for the service industry connecting available employees with businesses who need temporary employees for events. Spot Hero, Inc. develops mobile software applications that enable consumers to quickly find the cheapest or most convenient parking spot in a city. Spring Marketplace, Inc. connects the digital world with the payments world to make marketing work in a new way for the first time in 100 years. Telnyx, Inc. provides discount telecom services, such as voice and data, to businesses such as call centers and voice-over IP service providers. UpCity, Inc. (DBA Pathway) helps companies optimize their digital presence through a platform to get free traffic from the Web, and convert that traffic to revenue. TempoIQ is the time series database service, purpose-built to store & analyze the massive streams of measurement data that break traditional databases."
"Senate-confirmed/DeVos, Elisabeth P",6,27,"SG Fund II, LLC is an early stage venture fund. It owns interests in the following companies and cash on deposit with a U.S. bank: Companies AlSentis, LLC designs, engineers, and manufactures touch enablement microchips Ginkgo Tree, Inc. develops software under the brand Skillo for corporate training and development Fruitera, LLC has ceased operations Map My Beauty, Inc. develops augmented reality software applications that help consumers apply their make-up AdAdapted, Inc. develops software applications that natively place advertisement within other phone applications Exo, Inc. produces protein energy bars utilizing a proprietary protein powder formulated using crickets Blue Medora, Inc. develops IT analytics software for corporate IT environments Roost, Inc. produces wifi connected 9v batteries, smoke detectors, and leak detectors Varsity News Network, Inc. develops web software for k-12 schools athletics Direct Flow Medical, Inc. produces a transcatheter aortic heart valve replacement device Oxx, Inc. produces ruggedized, portable coffee makers Magnesium Development Company, LLC is working on a proprietary surgical screw made of magnesium Benefit Mobile, Inc. is a mobile platform for purchasing electronic gift cards Scanalytics, Inc. produces sensors and software that capture foot traffic in offices and retail stores MOVE Systems, Inc. provides commisary services to the owners of their proprietary food carts Olympia Media Group, LLC is an online media company operating as Odyssey Modalyst, Inc. develops e-commerce software that automates the workflow between online retailers and dropship manufacturers Programax, Inc. develops software for varsity and club sport coaches to help manage their sports programs Local Orbit, Inc. develops software for online management of food supply between food services and organic/local food producers Loop Labs, Inc. produces connected residential sensor devices for smoke, liquids, temperature, and open doors/windows Pinks and Greens, Inc. is an online retailer of women's sports apparel Poln, Inc. develops software that streamlines advertising procurement for online retailers Sportsman Tracker, Inc. develops mobile apps for hunting and fishing consumers develops mobile and online apps, including programing, for private, 24/7 addiction therapy and assistance Dogtelligent has ceased operations Seamless Accelerator Venture Capital Fund is an accelerator focused on the commercialization of IOT businesses, which in turn has interests in the following entities: AlSentis, LLC designs, engineers, and manufactures touch enablement microchips. Cosign, Inc. develops software that allows consumers to tag products in their own photos that become shopable. Friendly Health Technologies, LLC develops mobile software applications for healthcare providers to interact and begin diagnosing patient illnesses while integrating into existing provider patient care databases. Haas, Inc. (dba Haas Alerts) provides transmission equipment and notification software that allows emergency vehicles to push their location and inform drivers of oncoming emergency vehicles through their smart phone while driving. Hoana is currently in bankruptcy. Nobot, Inc. is no longer operating. Scanalytics, Inc. produces sensors and software that capture foot traffic in offices and retail stores. Tractouch Mobile is no longer operating. BrainDrain Solutions (dba Gideon) develops software to manage and operate all of your smart home devices. Dogtelligent is no longer operating. Promethient produces an advanced, personalized heating and cooling system for the automotive, office, and medical industries. Workit Health, Inc. develops mobile and online apps, including programing, for private, 24/7 addiction therapy and assistance. CARt provides ride sharing services for low income and low mobility consumers to grocery retail centers through their mobile software applications. SmarterAlloys produces steel alloy materials with unique and variably conrolled attributes and characteristics. AkibaH produces a mobile phone case that measures glucose levels for diabetics."
"Senate-confirmed/DeVos, Elisabeth P",6,28,West Michigan Baseball Ltd. owns a Class A baseball team (West Michigan Whitecaps) and the stadium in which they play (Fifth Third Ballpark).
"Senate-confirmed/DeVos, Elisabeth P",6,29,"Windy Hill LLC owns a residential rental property and personal real estate holdings in Ada, Michigan."
"Senate-confirmed/DeVos, Elisabeth P",6,30,The income reported consists of discretionary distributions received by Dick DeVos.  Dick DeVos is a discretionary beneficiary of Family Trust 6.
"Senate-confirmed/DeVos, Elisabeth P",6,31.1,"Alticor Global Holdings Inc. is the holding company for the Amway Corporation, a direct sales health and nutrition products business, and Amway hotels in Grand Rapids, MI."
"Senate-confirmed/DeVos, Elisabeth P",6,31.2,Alticor Export DV Co. is an export company for Alticor Global Holdings Inc.
"Senate-confirmed/DeVos, Elisabeth P",6,31.3.2,(water services)
"Senate-confirmed/DeVos, Elisabeth P",6,31.4.1,"Wholesale distributor of ethnic and gourmet foods to natural food stores, grocery stores, and other specialty product retailers."
"Senate-confirmed/DeVos, Elisabeth P",6,31.5.2,This investment has been liquidated and final proceeds were received on 9/30/16.
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.1.1,Hawaiian lumber supplier serving residential and commercial builders and contractors.
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.2.1,"Operator of BMW car dealerships in Beijing, Xian, Dalian, and Urumqi."
"Senate-confirmed/DeVos, Elisabeth P",6,31.6.3.1,"Berkshire Hathaway Inc. is a publicly-traded, American multinational conglomerate holding company headquartered in Omaha, NE."
