file,#,description,eif,value,income-type,income-amount
"Department of the Treasury/Unger, Seth",20,Ohio Deferred Comp 457 Rollover - Dodge & Cox Stock Fund,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of the Treasury/Unger, Seth",21,Ohio Deferred Comp 457 Rollover  - Fidelity Contrafund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Unger, Seth",22,Ohio Deferred Comp 457 Rollover  - Fidelity Growth Company,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Unger, Seth",23,Ohio Deferred Comp 457 Rollover  – FPA Capital,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of the Treasury/Unger, Seth",24,Ohio Deferred Comp 457 Rollover  – Hartford Small Company,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Unger, Seth",25,Ohio Deferred Comp 457 Rollover – Templeton Foreign,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Unger, Seth",26,Ohio Deferred Comp 457 Rollover  – Vanguard Capital Opportunity,Yes,"$1,001 - $15,000",,"$2,501 - $5,000"
"Department of the Treasury/Unger, Seth",27,Ohio Deferred Comp 457 Rollover  – Vanguard Int’l Growth,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Unger, Seth",28,Ohio Deferred Comp 457 Rollover  – Vanguard Small Cap Index,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Department of the Treasury/Unger, Seth",29,Ohio Deferred Comp 457 Rollover  – Vanguard Total Int’l Stock Index,Yes,"$1,001 - $15,000",,None (or less than $201)
"Department of the Treasury/Wrennall-Montes, Sarah",1,Nancy Goldstein,N/A,,Salary,"$25,000"
"Environmental Protection Agency/Davis, Patrick",1,"Patrick Davis Consulting, LLC (Consulting)",N/A,"$250,001 - $500,000",Salary/Bonus,"$163,016"
"Environmental Protection Agency/Davis, Patrick",2,"Patrick Davis Consulting, LLC (Consulting), anticipated bonus",N/A,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",3,Telephone Town Hall Meeting (telephone town hall meetings),N/A,,Salary,"$43,188"
"Environmental Protection Agency/Davis, Patrick",4,Vanguard Target Retirement 2035,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Davis, Patrick",5,VIGRX Vanguard Growth Index Fund Investors,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",6,LEGCX  Columbia Large Cap Growth CL C,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Davis, Patrick",7,Franklin Income A,Yes,"None (or less than $1,001)",,None (or less than $201)
"Environmental Protection Agency/Dravis, Samantha",1,Republican Attorneys General Association,,,Salary/Bonus,"$207,000"
"Environmental Protection Agency/Dravis, Samantha",2,Freedom Partners Chamber of Commerce,,,Salary/Bonus,"$117,000"
"Environmental Protection Agency/Ericksen, Doug",1,"Washington State, defined benefit plan (value not readily ascertainable) $1500 per month at age 65",N/A,,,None (or less than $201)
"Environmental Protection Agency/Ericksen, Doug",2,Trump For President Inc,,,,"$36,200"
"Environmental Protection Agency/Ericksen, Doug",3,Washington State Senate (Salary),,,,"$52,500"
"Environmental Protection Agency/Greaves, Holly",1,KPMG (Public accounting firm),,,Salary/Bonus,"$136,028"
"Environmental Protection Agency/Greaves, Holly",2,KPMG 401k,,,,
"Environmental Protection Agency/Greaves, Holly",2.1,Artisan Mid Cap Fund Institutional Class (APHMX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Greaves, Holly",2.2,Dodge & Cox International Stock Fund (DODFX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",2.3,Goldman Sachs High Yield Fund Institutional (GSHIX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Greaves, Holly",2.4,MFS Emerging Markets Debt Fund Class R6 (MEDHX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",2.5,MFS Value Fund Class R6 (MEIKX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",2.6,"Morgan Stanley Institutional Fund, Inc. Global Real Estate Portfolio Class I (MRLAX)",Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Greaves, Holly",3,BlackRock Equity Dividend Fund Investor A Shares (MDDVX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Greaves, Holly",4,"BlackRock Global Allocation Fund, Inc. Investor A Shares (MDLOX)",Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Greaves, Holly",5,"KPMG Defined Benefit Plan, Value not readily ascertainable",,,,None (or less than $201)
"Environmental Protection Agency/Gunasekara, Amanda",1,"Blue Earth Fund, LP",No,"$15,001 - $50,000",Capital Gains,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",1,The Heritage Foundation,N/A,,,"$257,503"
"Environmental Protection Agency/Kreutzer, David",2,Heritage Retirement Plan,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Kreutzer, David",2.1,Artisan International Value Investor,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",2.2,Baron Asset Retail,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",2.3,Fairholme,Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Kreutzer, David",2.4,Loomis Sayles Bond Instl,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",2.5,Oakmark I,Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Kreutzer, David",2.6,Schwab Gvt. Money Market Fund,Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Kreutzer, David",2.7,Schwab Retirement Advantage Money,Yes,"None (or less than $1,001)",,None (or less than $201)
"Environmental Protection Agency/Kreutzer, David",2.8,Vanguard REIT Index Admiral Shares,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",3,Heritage 403(b),,,,
"Environmental Protection Agency/Kreutzer, David",3.1,Fairholme (FAIRX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",3.2,Loomis Sayles Bond Inst,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",3.3,Oakmark International Small Cap I,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Kreutzer, David",4,TIAA Traditional annuity,No,"$100,001 - $250,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Kreutzer, David",5,CREF Stock R3,Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
"Environmental Protection Agency/Munoz, Charles",1,"Donald J. Trump for President, Inc.",N/A,,salary,"$135,876"
"Environmental Protection Agency/Schwab, Justin",1,Baker&Hostetler LLC (law firm),,,Salary,"$207,098"
"Environmental Protection Agency/Schwab, Justin",2,Roth IRA - Vanguard All in Vanguard Retirement 2045 Fund (VTIVX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Environmental Protection Agency/Wilcox, Jahan",1,Doug Burgum for North Dakota,N/A,,Salary,"$125,000"
"Environmental Protection Agency/Wilcox, Jahan",2,Marco Rubio for President,N/A,,Salary,"$90,000"
"Environmental Protection Agency/Wilcox, Jahan",3,National Republican Senatorial Committee,N/A,,Salary,"$125,000"
"Environmental Protection Agency/Wilcox, Jahan",4,Columbia Seligman Global Technology A (SHGTX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Environmental Protection Agency/Wilcox, Jahan",5,Fidelity Advisor New Insights C (FNICX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Wilcox, Jahan",6,Putnam Capital Spectrum C (PVSCX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Wilcox, Jahan",7,BlackRock Equity Dividend Inv C (MCDVX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Environmental Protection Agency/Wilcox, Jahan",8,ClearBridge Aggressive Growth C (SAGCX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Environmental Protection Agency/Wilcox, Jahan",9,Eventide Gilead C (ETCGX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Environmental Protection Agency/Wilcox, Jahan",10,Wells Fargo Special Small Cap Value C (ESPCX),Yes,"$1,001 - $15,000",,None (or less than $201)
"Environmental Protection Agency/Wilcox, Jahan",11,US Banking Institution,,"$1,001 - $15,000",Interest,None (or less than $201)
"Export-Import Bank of the United States/Law, Jesse",1,Reach for the Sky LLC,N/A,,Consulting Fees,"$113,263"
"Export-Import Bank of the United States/Law, Jesse",2,Low VA Rates (Direct Lender),N/A,,Salary,"$2,343"
"Export-Import Bank of the United States/Law, Jesse",3,Donald J Trump for President,N/A,,Salary,"$3,862"
"Export-Import Bank of the United States/Law, Jesse",4,The 2016 Committe,N/A,,Salary,"$5,750"
"Export-Import Bank of the United States/Law, Jesse",5,LeetCoin,N/A,,Consulting Fees,"$1,000"
"Export-Import Bank of the United States/Law, Jesse",6,Alpha PAC,N/A,,Consulting Fees,"$6,000"
"Export-Import Bank of the United States/Law, Jesse",7,M81 LLC,N/A,,Consulting Fees,"$65,000"
"Export-Import Bank of the United States/Law, Jesse",8,Nevada Republican Party,N/A,,Consulting Fees,"$5,000"
"Federal Communications Commission/Roddy, Carolyn",1,"Carolyn Tatum Roddy, PC (sole proprietor)",N/A,"None (or less than $1,001)",Legal Fees,"$56,050"
"Federal Communications Commission/Roddy, Carolyn",2,"MFS Moderate Aloocation Fund B, FT Dividend Strength #32",N/A,"$1,001 - $15,000",Dividends Capital Gains,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",1,Pearl Capital Business Ventures (Merchant Cash Advance),N/A,,Salary,"$210,093"
"Office of the U.S. Trade Representative/Feit, Yecheil",2,Pearl Capital Business Ventures (Merchant Cash Advance),N/A,,Severance,"$62,500"
"Office of the U.S. Trade Representative/Feit, Yecheil",3,American Funds The Growth Fund of America (GFFFX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",4,American Funds Washington Mutual Fund (WMFFX),Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",5,Wells Fargo Special Mid Cap Value Fund (WFMIX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",6,iShares S&P SmallCap 600 Growth ETF (IJT),Yes,"$15,001 - $50,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",7,Pax Small Cap Fund (PXSIX),Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Feit, Yecheil",8,MFS International Value Fund (MINIX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Feit, Yecheil",9,Vanguard Short Term Corporate Bond ETF (VCSH),Yes,"$50,001 - $100,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",1,King & Spalding LLP (law firm),N/A,,Salary/Bonus,"$753,352"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",2,"Skadden, Arps, Slate, Meagher, and Flom LLP (law firm)",N/A,,Salary/Bonus,"$751,483"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",3,Georgetown University Law Center,N/A,,Salary,"$1,500"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",4,Radio Ingraham (Communications),N/A,,Consulting Fees,"$2,000"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",5,Northwestern Mutual Individual Retirement Account,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",5.1,Dreyfus Insurance Deposit Program I (cash),N/A,"None (or less than $1,001)",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",5.2,Russell LifePoints Growth Strategy Fund Class A (RALAX),N/A,"$1,001 - $15,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6,Skadden 401k,Yes,,,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6.1,Vanguard Total Bond Market Index Fund (VBMFX),Yes,"$15,001 - $50,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6.2,AMG TimesSquare Small Cap Growth Fund I (TSCIX),Yes,"$100,001 - $250,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6.3,T. Rowe Price Growth Stock Trust A,Yes,"$50,001 - $100,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6.4,Vanguard Institutional Index Fund Institutional Plus Shares (VIIIX),Yes,"$250,001 - $500,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",6.5,American Funds EuroPacific Growth Fund Class R-6 (RERGX),Yes,"$50,001 - $100,000",,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",7,King & Spalding 401k,Yes,,,None (or less than $201)
"Office of the U.S. Trade Representative/Vaughn, Stephen P.",7.1,Schwab Moderate Strategic Portfolio,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",1,Florida International University,N/A,,Salary (Sum of 2016 + 2017 amount received to date),"$379,620"
"Senate-confirmed/Acosta, Rene Alexander",2,"U.S. Century Bank, 300,000 warrants, $1.50 strike price, to vest as follows: 100,000 on 3/1/16; 50,000 on 3/1/17; 50,000 additional on 3/1/18, 3/1/19 and 3/1/20 (expiration 90 days from severance)",N/A,,,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",3,U.S. Century Bank,N/A,,Director Fees (Sum of 2016 + 2017 amount received to date),"$170,000"
"Senate-confirmed/Acosta, Rene Alexander",4,CREF Growth,Yes,"$250,001 - $500,000",,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",5,CREF Global Equities,Yes,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",6,TIAA Traditional Annuity,N/A,"$50,001 - $100,000",Interest,"$1,001 - $2,500"
"Senate-confirmed/Acosta, Rene Alexander",7,T. Rowe Price Institutional Large Cap Growth,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",8,"Honorarium (University of Houston Student Chapter of the Federalist Society) - March 1, 2016",,,Honorarium,"$1,000"
"Senate-confirmed/Acosta, Rene Alexander",9,U.S. brokerage account (cash),N/A,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Acosta, Rene Alexander",10,"U.S. Century Bank (anticipated bonus in the range of $50,000 - $150,000; exact amount not ascertainable) (anticipated bonus was not set as of the date of the nomination)",N/A,,,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",1,"Brownstein Hyatt Farber and Schreck, LLP (law firm)",,,,
"Senate-confirmed/Bernhardt, David L",1.1,"Brownstein Hyatt Farber and Schreck, LLP",N/A,,Partnership distribution based upon equity interest/bonus for entire reporting period,"$953,085"
"Senate-confirmed/Bernhardt, David L",1.2,"Brownstein Hyatt Farber and Schreck, LLP, capital account",N/A,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",1.3,BHFS-E PC (General partner and holding company of the law firm),N/A,"None (or less than $1,001)","2015, 2016 S Corp distribution disbursements based upon ownership interest","$151,341"
"Senate-confirmed/Bernhardt, David L",1.4,UBE PC (General Partner entity of the law firm),N/A,"None (or less than $1,001)",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2,"Brownstein Hyatt Farber and Schreck, LLP Defined Contribution Plan",No,,,
"Senate-confirmed/Bernhardt, David L",2.1,Vanguard High Yield Corporate Fund Admiral Shares N/L,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2.2,Metropolitan West Total Return Bond Fund Class I,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2.3,Pimco High Yield Fund Institutional Class,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2.4,Vanguard Institutional Index Fund Institutional Shares,Yes,"$250,001 - $500,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2.5,Vanguard Small-Cap Index Admiral Shares,Yes,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",2.6,Vanguard Total International Stock Index Fund Admiral Shares,Yes,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",3,IRA #1,No,,,
"Senate-confirmed/Bernhardt, David L",3.1,DFA Emerging Markets Small Cap Port Institutional Class N/L,Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Bernhardt, David L",3.2,DFA Emerging Markets Value Port Institutional Class N/L,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Bernhardt, David L",3.3,DFA International Value Port Institutional Class N/L,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Bernhardt, David L",3.4,DFA U.S. Large Cap Value Port Institutional Class N/L,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Bernhardt, David L",3.5,DFA U.S. Small Cap Value Port Institutional Class N/L,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Bernhardt, David L",3.6,DFA International Large Cap Growth Fund Inst Class N/L,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",3.7,DFA International Small Cap Growth Fund Inst Class N/L,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Bernhardt, David L",3.8,DFA International Small Cap Value Portfolio Inst CLS N/L,Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Bernhardt, David L",3.9,DFA U.S. Small Cap Growth Port Institutional Class N/L,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Bernhardt, David L",3.10,DFA U.S. Large Cap Growth Port Institutional Class N/L,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",1,"USAA, defined benefit pension plan",N/A,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Brouillette, Danny R",2,USAA Salary and Bonus,N/A,,USAA 2016 & 2017 Salary and 2016 Bonus,"$1,643,794"
"Senate-confirmed/Brouillette, Danny R",3,USAA. Deferred Compensation - cash receiveable,N/A,"$50,001 - $100,000",,None (or less than $201)
"Senate-confirmed/Brouillette, Danny R",4,USAA Defined Contribution Pension Plan,,,,
"Senate-confirmed/Brouillette, Danny R",4.1,USAA Target Retirement 2030 Fund (URTRX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.2,USAA Money Market Fund (USEXX),Yes,"$1,000,001 - $5,000,000",,"$15,001 - $50,000"
"Senate-confirmed/Brouillette, Danny R",4.3,USAA Target Retirement 2020 Fund (URTNX),Yes,"$500,001 - $1,000,000",,"$5,001 - $15,000"
"Senate-confirmed/Brouillette, Danny R",4.4,Fidelity New Millennium (FMILX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.5,USAA International Fund (USIFX),Yes,"$15,001 - $50,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.6,USAA Emerging Markets Fund (USEMX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.7,USAA Growth Fund (USAAX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Senate-confirmed/Brouillette, Danny R",4.8,USAA Income Fund (USAIX),Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Brouillette, Danny R",4.9,USAA Managed Allocation Fund (UMAFX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.10,USAA Income Stock Fund (USISX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Senate-confirmed/Brouillette, Danny R",4.11,USAA Short Term Bond Fund (USIBX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.12,USAA Intermediate Term Bond Fund (USIBX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Senate-confirmed/Brouillette, Danny R",4.13,USAA High Income Fund (USHYX),Yes,"$15,001 - $50,000",,"$2,501 - $5,000"
"Senate-confirmed/Brouillette, Danny R",4.14,USAA Small Cap Stock Fund (USCAX),Yes,"$1,001 - $15,000",,"$1,001 - $2,500"
"Senate-confirmed/Brouillette, Danny R",4.15,USAA Tax Exempt Short Term Fund (USSTX),Yes,"$1,001 - $15,000",,"$201 - $1,000"
"Senate-confirmed/Brouillette, Danny R",5,USAA Severance Payment - anticipated,N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",1,"Kellogg Company, stock options",N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",2,Kellogg Company,N/A,"$1,000,001 - $5,000,000",Dividends,"$100,001 - $1,000,000"
"Senate-confirmed/Carson, Benjamin",3,Costco Wholesale Corp.,N/A,"$1,000,001 - $5,000,000",Dividends,"$15,001 - $50,000"
"Senate-confirmed/Carson, Benjamin",4,"Vaccinogen, Inc.",N/A,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",5,"American Business Collaborative, LLC",N/A,,Salary,"$600,000"
"Senate-confirmed/Carson, Benjamin",6,IRA #1,No,,,
"Senate-confirmed/Carson, Benjamin",6.1,Schwab Advisor Cash Reserves Fund - Premier Sweep Share,Yes,"$1,001 - $15,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",6.2,First Eagle Overseas Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",6.3,GS Fin Corp Medium Term Note,N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",6.4,Harbor International Fund,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Carson, Benjamin",6.5,Invesco Convertible Securities Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",6.6,PIMCO Commodity Real Return Strategy Fund,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Carson, Benjamin",6.7,Oppenheimer Developing Markets Fund,Yes,"$50,001 - $100,000",,"$201 - $1,000"
"Senate-confirmed/Carson, Benjamin",6.8,PIMCO Income Fund,Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
"Senate-confirmed/Carson, Benjamin",6.9,Stone Ridge High Yield Reinsurance Risk Premium Fund,Yes,"$100,001 - $250,000",,"$5,001 - $15,000"
"Senate-confirmed/Carson, Benjamin",6.10,USAA Short Term Bond Fund,Yes,"$50,001 - $100,000",,"$1,001 - $2,500"
"Senate-confirmed/Carson, Benjamin",6.11,AIP Absolute Return Fund STS,Yes,"$250,001 - $500,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7,"American Business Collaborative, LLC (self employed passthrough entity for public speaking and book royalties)",,,,
"Senate-confirmed/Carson, Benjamin",7.1,"American Business Collaborative, LLC, cash balance pension plan",No,,,
"Senate-confirmed/Carson, Benjamin",7.1.1,Allianz GI NFJ Small Cap Value Fund,Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.2,American Century Mid Cap Value Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.3,Baron Growth Fund,Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Carson, Benjamin",7.1.4,Deutsche Global Real Estate Securities Fund,Yes,"$50,001 - $100,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.5,First Eagle Overseas Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.6,GS Fin Corp Medium Term Note,N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.1.7,Harbor International Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.8,Invesco Balanced Risk Allocation Fund,Yes,"$50,001 - $100,000",,"$5,001 - $15,000"
"Senate-confirmed/Carson, Benjamin",7.1.9,Invesco Convertible Securities Fund,Yes,"$15,001 - $50,000",,"$201 - $1,000"
"Senate-confirmed/Carson, Benjamin",7.1.10,U.S. bank Certificates of Deposit #1,N/A,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.1.11,JP Morgan Strategic Income Opportunities Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.12,Metropolitan West High Yield Bond Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.13,Oppenheimer Developing Markets Fund,Yes,"$15,001 - $50,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.1.14,PIMCO Commodity Real Return Strategy Fund,Yes,"$50,001 - $100,000",,"$201 - $1,000"
"Senate-confirmed/Carson, Benjamin",7.1.15,Stone Ridge All Asset VRP Fund,Yes,"$250,001 - $500,000",,"$15,001 - $50,000"
"Senate-confirmed/Carson, Benjamin",7.1.16,Stone Ridge Reinsurance Risk Premium Fund,Yes,"$250,001 - $500,000",,"$5,001 - $15,000"
"Senate-confirmed/Carson, Benjamin",7.1.17,Undiscovered Managers Behavorial Value Fund,Yes,"$100,001 - $250,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.1.18,USAA Short Term Bond Fund,Yes,"$100,001 - $250,000",,"$2,501 - $5,000"
"Senate-confirmed/Carson, Benjamin",7.1.19,WFC Holdings Corp Note,N/A,"$250,001 - $500,000",,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.2,TMA Direct managed subscription-based web forum (no longer active),N/A,,Rent or Royalties Interest,"$50,001 - $100,000"
"Senate-confirmed/Carson, Benjamin",7.3,Review & Herald Publishing Association - TITLE: Gifted Hands: The Ben Carson Story (Value not readily ascertainable),N/A,,Rent or Royalties,"$15,001 - $50,000"
"Senate-confirmed/Carson, Benjamin",7.4,Penguin Group USA - TITLE: One Nation: What We Can All Do to Save America's Future (Value not readily ascertainable),N/A,,Rent or Royalties,"$100,001 - $1,000,000"
"Senate-confirmed/Carson, Benjamin",7.5,Penguin Group USA - TITLE: A More Perfect Union: What We the People Can Do to Reclaim Our Constitutional Liberties (Value not readily ascertainable),N/A,,Rent or Royalties,None (or less than $201)
"Senate-confirmed/Carson, Benjamin",7.6,Global Evangelism Inc - 10/1/16,N/A,,Honorarium,"$25,000"
"Senate-confirmed/Carson, Benjamin",7.7,John Sanders - Revive US - 10/18/16,N/A,,Honorarium,"$5,000"
"Senate-confirmed/Carson, Benjamin",7.8,Washington Speakers Bureau - Grove City College - 5/14/16,N/A,,Honorarium,"$33,000"
"Senate-confirmed/Carson, Benjamin",7.9,Washington Speakers Bureau - Council of Insurance Agents and Brokers - 6/1/16,N/A,,Honorarium,"$41,000"
