file,#,source-name,city-state,brief-description-of-duties
"Senate-confirmed/Chao, Elaine L",10,Women Freedom Forum (through Worldwide Speakers Group),"Washington, District of Columbia",Honoraria - Speech
"Senate-confirmed/Chao, Elaine L",11,North Caroline State University (through Worldwide Speakers Group),"Raleigh, North Carolina",Honoraria - Speech
"Senate-confirmed/Chao, Elaine L",12,Real Estate Roundtable (through Worldwide Speakers Group),"Washington, District of Columbia",Honoraria - Speech
"Senate-confirmed/Chao, Elaine L",13,Alliance for Public Awareness (through Worldwide Speakers Group),"Paris, Outside U.S.",Honoraria - Speech
"Senate-confirmed/Chao, Elaine L",14,Iranian-American Cultural Association of Missouri,"Washington, District of Columbia",Honoraria - Speech
"Senate-confirmed/Chao, Elaine L",15,Dole Corporation,"Westlake Village, California",Director
"Senate-confirmed/DeVos, Elisabeth P",1,"The Stow Company - Holland, Inc.","Holland, Michigan",Member of the CEO’s leadership team with responsibility for the overall vision and strategy for the company’s brands and products
"Senate-confirmed/DeVos, Elisabeth P",2,RDV Corporation,"Grand Rapids, Michigan",Served on the Board of Directors and committees of the Board
"Senate-confirmed/Green, Mark Andrew",1,International Republican Institute,"Washington, District of Columbia",President - leads organization dedicated to building strong and lasting democracies around the world.
"Senate-confirmed/Hargan, Eric D",1,"Greenberg Traurig, LLP","Chicago, Illinois",Shareholder providing legal services
"Senate-confirmed/Hargan, Eric D",2,Loyola University Law School,"Chicago, Illinois",Adjunct Professor
"Senate-confirmed/Hargan, Eric D",3,"4G Clinical, LLC","Dover, Massachusetts",Legal Services
"Senate-confirmed/Hargan, Eric D",4,"Acer Capital Group, LLC","Irvine, California",Legal Services
"Senate-confirmed/Hargan, Eric D",5,"AHG Group, LLC","Maitland, Florida",Legal Services
"Senate-confirmed/Hargan, Eric D",6,"Alvogen, Inc.","Pine Brook, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",7,"American Renal Associates, Inc.","Beverly, Massachusetts",Legal Services
"Senate-confirmed/Hargan, Eric D",8,Athletico Physical Therapy,"Oak Brook, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",9,Aon Hewitt,"Lincolnshire, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",10,Bank of the West,"San Francisco, California",Legal Services
"Senate-confirmed/Hargan, Eric D",11,"Centerbridge Capital Partners, LP","New York, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",12,Centrex Revenue Solutions,"Jupiter, Florida",Legal Services
"Senate-confirmed/Hargan, Eric D",13,"Cerebro Solutions, Inc.","Los Angeles, California",Legal Services
"Senate-confirmed/Hargan, Eric D",14,EON Clinics,"Chicago, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",15,"Falconhead Capital, LLC","New York, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",16,"Forest Health Services, Inc.","Ypsilanti, Michigan",Legal Services
"Senate-confirmed/Hargan, Eric D",17,"Global MedChoices, LLC","Memphis, Tennessee",Legal Services
"Senate-confirmed/Hargan, Eric D",18,"Guidewell Sanitas 1, LLC","Miami, Florida",Legal Services
"Senate-confirmed/Hargan, Eric D",19,"Healthcare Billing Systems, Inc.","Ormond Beach, Florida",Legal Services
"Senate-confirmed/Hargan, Eric D",20,"HealthEngine, LLC","Chicago, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",21,Hoya Medical Singapore,"Singapore, Outside U.S.",Legal Services
"Senate-confirmed/Hargan, Eric D",22,Hoya Vision Care,"Lewisville, Texas",Legal Services
"Senate-confirmed/Hargan, Eric D",23,Ironshore International,"Bermuda, Outside U.S.",Legal Services
"Senate-confirmed/Hargan, Eric D",24,"Kelso Investment Associates IX, LP","New York, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",25,"Lifestyle Lift, Inc.","Fayetteville, Arkansas",Legal Services
"Senate-confirmed/Hargan, Eric D",26,Linden LLC,"Chicago, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",27,"Lipp, Michael","Miami, Florida",Legal Services
"Senate-confirmed/Hargan, Eric D",28,"Moon, Dr. Eric","Cedar Lake, Indiana",Legal Services
"Senate-confirmed/Hargan, Eric D",29,National Hemophilia Foundation,"New York, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",30,OSF Healthcare System,"Peoria, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",31,Partnership HealthPlan of California,"Fairfield, California",Legal Services
"Senate-confirmed/Hargan, Eric D",32,"Roundtable Investment Partners, LLC","New York, New York",Legal Services
"Senate-confirmed/Hargan, Eric D",33,"Sanitas Health Care, LLC","Dallas, Texas",Legal Services
"Senate-confirmed/Hargan, Eric D",34,SCL Health System,"Broomfield, Colorado",Legal Services
"Senate-confirmed/Hargan, Eric D",35,St. Anthony's Nursing & Rehab Service,"Carroll, Iowa",Legal Services
"Senate-confirmed/Hargan, Eric D",36,Superior Ambulance,"Elmhurst, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",37,Tempus,"Chicago, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",38,TriHealth Inc.,"Cincinnati, Ohio",Legal Services
"Senate-confirmed/Hargan, Eric D",39,Workday.com,"Pleasanton, California",Legal Services
"Senate-confirmed/Hargan, Eric D",40,Home Access Health Corp.,"Hoffman Estates, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",41,"Hill, Dr. Client","Paducah, Kentucky",Legal Services
"Senate-confirmed/Hargan, Eric D",42,Illinois State Ambulance Association,"Altamont, Illinois",Legal Services
"Senate-confirmed/Hargan, Eric D",43,United Healthcare Services,"Minnetonka, Minnesota",Legal Services
"Senate-confirmed/Hargan, Eric D",44,Virtus Pharmaceuticals,"Tampa, Florida",Legal Services
"Senate-confirmed/Hassett, Kevin A",1,Internet Innovation Alliance,"Washington, District of Columbia","Consulting, Sonecon client, 2015"
"Senate-confirmed/Hassett, Kevin A",2,Consumer Healthcare Products Association,"Washington, District of Columbia","Consulting, Lindsey Group Client, 2016"
"Senate-confirmed/Hassett, Kevin A",3,American Resort Development Association,"Washington, District of Columbia",2015 Speech
"Senate-confirmed/Hassett, Kevin A",4,SPX Corp,"Charlotte, North Carolina",2015 Speech
"Senate-confirmed/Hassett, Kevin A",5,Cobank,"Denver, Colorado",2015 Speeches
"Senate-confirmed/Hassett, Kevin A",6,American Enterprise Institute,"Washington, District of Columbia",Perform economic research and supervise scholars.
"Senate-confirmed/Hassett, Kevin A",7,Citigroup,"New York, New York",Consulting
"Senate-confirmed/Hassett, Kevin A",8,Sonecon,"Washington, District of Columbia",Consulting
"Senate-confirmed/Hassett, Kevin A",9,Randolph Foundation,"New York, New York",Advisory Board
"Senate-confirmed/Hassett, Kevin A",10,The Lindsey Group,"Fairfax, Virginia",Perform economic research and contribute to Lindsey Group newsletter.
"Senate-confirmed/Hassett, Kevin A",11,NDN,"Washington, District of Columbia","Consulting, Sonecon Client"
"Senate-confirmed/Hassett, Kevin A",12,Precision Economics,"Washington, District of Columbia",Consulting
"Senate-confirmed/Hassett, Kevin A",13,American Action Forum,"Washington, District of Columbia",Consulting
"Senate-confirmed/Hassett, Kevin A",14,FCC Services,"Denver, Colorado","2015, 2016 and 2017 Speeches at FCC conferences"
"Senate-confirmed/Hassett, Kevin A",15,Choice Hotels,"Bethesda, Maryland",2016 Speech
"Senate-confirmed/Hassett, Kevin A",16,National Mining Association,"Washington, District of Columbia",2016 Speech
"Senate-confirmed/Kan, Derek T",1,Lyft Inc,"San Francisco, California",General Manager
"Senate-confirmed/Kan, Derek T",2,Amtrak,"Washington, District of Columbia",Board Member
"Senate-confirmed/Kan, Derek T",3,Story and Heart,"Portland, Oregon",Consultant
"Senate-confirmed/Kan, Derek T",4,GenapSys,"Redwood City, California",Director of Strategy
"Senate-confirmed/Kelly, John F",1,DynCorp,"McLean, Virginia",Advisor on military defense issues
"Senate-confirmed/Kelly, John F",2,DC Capital Partners,"Alexandria, Virginia",Board Member
"Senate-confirmed/Kelly, John F",3,Flatter & Associates,"Fredericksburg, Virginia",Independent Contractor/Senior Fellow (Flatter & Associates contracts with the National Defense University (NDU) to provide Senior Fellows to NDU classes.)
"Senate-confirmed/Kelly, John F",4,Beacon Global Strategies,"Washington, District of Columbia",Advisor on national security affairs
"Senate-confirmed/Kelly, John F",5,Illinois Police Pension Fund Association (IPPFA),"Elgin, Illinois",Keynote Speaker at 2016 IPPFA MidAmerican Pension Conference
"Senate-confirmed/Lighthizer, Robert E",1,United States Steel Corporation,"Pittsburgh, Pennsylvania","legal representation (client of Skadden, Arps, Slate, Meagher & Flom LLC)"
"Senate-confirmed/Lighthizer, Robert E",2,"Skadden, Arps, Slate, Meagher & Flom LLP","Washington, District of Columbia",law firm partner
"Senate-confirmed/Long, William B",1,Hagerty Consulting Inc.,"Evanston, Illinois",Received a salary for serving as the Executive Vice President
"Senate-confirmed/Long, William B",2,Atlanta Urban Area Security Initiative,"Atlanta, Georgia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",3,Booze Allen Hamilton,"Tysons Corner, Virginia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",4,Chatham County Emergency Management Agency,"Chatham County, Georgia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",5,"Chelsea, MA Public Schools","Chelsea, Massachusetts",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",6,Cook County Department of Homeland Security and Emergency Management,"Chicago, Illinois",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",7,Center for Transportation and the Environment,"Atlanta, Georgia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",8,Eagle Hill Consulting,"Arlington, Virginia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",9,"City of Fort Worth, TX Office of Emergency Management","Fort Worth, Texas",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",10,GA Department of Natural Resources,"Atlanta, Georgia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",11,"Lee County, FL Emergency Management Agency","Fort Myers, Florida",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",12,"Long Beach, CA Department of Health and Human Services","Long Beach, California",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",13,"Houston, TX METRO","Houston, Texas",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",14,New England Catastrophic Planning Initiative,"Boston, Massachusetts",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",15,"Prince William County, VA Emergency Management Agency","Woodbridge, Virginia",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",16,Ravinia Festival,"Highland Park, Illinois",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",17,Rhode Island Emergency Management Agency,"Cranston, Rhode Island",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",18,"San Diego County, CA Emergency Management Agency","San Diego, California",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",19,"Santa Barbara County, CA Emergency Management Agency","Santa Barbara, California",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",20,"Tarrant County, TX Public Health Department","Fort Worth, Texas",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Long, William B",21,Westfield Mall Corporation,"Los Angeles, California",Emergency management consulting (client of Hagerty Consulting)
"Senate-confirmed/Mattis, James N",1,Hoover Institution,"Stanford, California",Distinguished Visiting Fellow
"Senate-confirmed/Mattis, James N",2,General Dynamics,"Falls Church, Virginia","Member, Board of Directors"
"Senate-confirmed/Mattis, James N",3,Theranos,"Palo Alto, California","Member, Board of Directors"
"Senate-confirmed/Mattis, James N",4,VFW National Convention,"Kansas City, Missouri",Speaking Honorarium
"Senate-confirmed/Mattis, James N",5,Lincoln Financial Services,"Fort Wayne, Indiana",Speaking Honorarium
"Senate-confirmed/Mattis, James N",6,CitiCorp,"New York, New York",Speaking Honorarium
"Senate-confirmed/Mattis, James N",7,"International Creative Management Partners, LLC","Los Angeles, California",Speaking Honorarium
"Senate-confirmed/Mattis, James N",8,Forum for the Future of Higher Education,"Cambridge, Massachusetts",Speaking Honorarium
"Senate-confirmed/Mattis, James N",9,Leland Stanford Jr. University,"Stanford, California",Distinguished Visiting Fellow
"Senate-confirmed/Mattis, James N",10,Random House Publishers,"New York, New York",Author's Advance
"Senate-confirmed/Mattis, James N",11,Regents of the University of California,"Berkeley, California",Speaking Honorarium
"Senate-confirmed/Mattis, James N",12,World President’s Organization,"Alexandira, Virginia",Speaking Honorarium
"Senate-confirmed/Mattis, James N",13,"Edge Advisors, LLC","Atlanta, Georgia",Speaking Honorarium
"Senate-confirmed/Mattis, James N",14,Howie Koff,"Bend, Oregon",Speaking Honorarium
"Senate-confirmed/Mattis, James N",15,Northrop Grumman,"Falls Church, Virginia",Speaking Honorarium
"Senate-confirmed/Mattis, James N",16,Harvard University,"Cambridge, Massachusetts",Speaking Honorarium
"Senate-confirmed/Mattis, James N",17,DirecTV,"El Segundo, California",Speaking Honorarium
"Senate-confirmed/Mattis, James N",18,U.S. Global Leadership Coalition,"Washington, District of Columbia",Speaking Honorarium
"Senate-confirmed/Mattis, James N",19,Goldman Sachs,"New York, New York",Speaking Honoraria
"Senate-confirmed/Mattis, James N",20,American Society for Industrial Security International,"Alexandria, Virginia",Speaking Honoraria
"Senate-confirmed/Mattis, James N",21,Chief Executive Network,"Overland Park, Kansas",Speaking Honorarium
"Senate-confirmed/Mattis, James N",22,Howard G. Buffett Foundation,"Decatur, Illinois",Speaking Honorarium
"Senate-confirmed/Mnuchin, Steven T",1,CIT Bank N.A.,"Pasadena, California",Chairman and Director
"Senate-confirmed/Mnuchin, Steven T",2,Dune Capital Management GP LLC - Dune Capital Management LP,"New York, New York",Chairman and CEO
"Senate-confirmed/Mnuchin, Steven T",3,SHM Investments LLC - Dune Capital Management LP,"New York, New York",Managing member
"Senate-confirmed/Mnuchin, Steven T",4,STM Partners LLC,"Los Angeles, California",Managing member
"Senate-confirmed/Mnuchin, Steven T",5,Sears Roebuck and Company,"Hoffman Estates, Illinois",Director
"Senate-confirmed/Mnuchin, Steven T",6,The Lefrak Trust Company,"Wilmington, Delaware",Director
"Senate-confirmed/Mnuchin, Steven T",7,OneWest Bank N.A.,"Pasadena, California",Chairman and CEO
"Senate-confirmed/Patenaude, Pamela H",1,J. Ronald Terwilliger Foundation for Housing America's Families,"Vienna, Virginia",I am responsible for the day- to- day operations of the Foundation including but not limited to: financial management; strategic planning; research agenda; communications; liaison to the advisory board and executive committee;scheduling for the chairman; supervision of employees and consultants; and conference programming.
"Senate-confirmed/Perdue, George E",1,"Bipartisan Policy Center, Inc.","Washington, District of Columbia",Service as member of the Governor's Council to help formulate bipartisan policy as well as honorarium.
"Senate-confirmed/Perry, James Richard",1,MCNA Insurance Company,"Fort Lauderdale, Florida",consultant and board member
"Senate-confirmed/Perry, James Richard",2,McKenna & Associates,"Arlington, Virginia",consultant
"Senate-confirmed/Perry, James Richard",3,Energy Transfer Partners,"Dallas, Texas",Board Member
"Senate-confirmed/Perry, James Richard",4,Celltex Therapeutics,"Houston, Texas",consultant
"Senate-confirmed/Perry, James Richard",5,State of Texas,"Austin, Texas",Governor
"Senate-confirmed/Perry, James Richard",6,Microsoft,"Seattle, Washington",speech
"Senate-confirmed/Perry, James Richard",7,Asian American Hotel Owners Association,"Atlanta, Georgia",speech
"Senate-confirmed/Perry, James Richard",8,Ashland University,"Ashland, Ohio",speech
"Senate-confirmed/Perry, James Richard",9,Omnitracs,"Dallas, Texas",speech
"Senate-confirmed/Perry, James Richard",10,Bond Buyer,"New York, New York",speech
"Senate-confirmed/Perry, James Richard",11,American Association of Orthopaedic Surgeons,"Washington, District of Columbia",speech
"Senate-confirmed/Perry, James Richard",12,Radius Financial Education,"Toronto, Ontario Canada",speech
"Senate-confirmed/Perry, James Richard",13,State Policy Network,"Arlington, Virginia",speech
"Senate-confirmed/Perry, James Richard",14,Law Office of George Martin,"Bakersfield, California",speech
"Senate-confirmed/Perry, James Richard",15,Messianic Jewish Bible Institute,"Euless, Texas",speech
"Senate-confirmed/Perry, James Richard",16,Sunoco Logistics Partners LP,"Philadelphia, Pennsylvania",Board Member
"Senate-confirmed/Perry, James Richard",17,Entertainment Partners Worldwide,"Burbank, California",appearance fee
"Senate-confirmed/Perry, James Richard",18,Holt Texas,"San Antonio, Texas",consultant
"Senate-confirmed/Perry, James Richard",19,Texas Public Policy Foundation,"Austin, Texas",speeches
"Senate-confirmed/Pruitt, Edward Scott",1,State of Oklahoma,"Oklahoma City, Oklahoma",Attorney General
"Senate-confirmed/Puzder, Andrew F",1,"CKE Restaurants Holdings, Inc.","Anaheim, California",Chief Executive Officer
"Senate-confirmed/Rosen, Jeffrey A",1,Kirkland & Ellis LLP and Kirkland & Ellis International,"Washington, D.C., District of Columbia",provision of legal services to clients
"Senate-confirmed/Rosen, Jeffrey A",2,Cargo Airline Assn,"Washington, District of Columbia",legal services to law firm client
"Senate-confirmed/Rosen, Jeffrey A",3,BNSF Railway,"Ft. Worth, Texas",legal services to law firm client
"Senate-confirmed/Rosen, Jeffrey A",4,Kapsch Trafficom North America,"McLean, Virginia",legal services to law firm client
"Senate-confirmed/Rosen, Jeffrey A",5,U.S. Chamber Institute for Legal Reform,"Washington, District of Columbia",legal services to law firm client
Senate-confirmed/Ross Wilbur L,1,"Invesco, Ltd.","Atlanta, Georgia",CEO of Private Equity Groups division with company. Receives his salary and bonus from Invesco Group Services.
Senate-confirmed/Ross Wilbur L,2,ArcelorMittal,"Luxembourg, Outside U.S.",Independent Director on the Board of Directors.
"Senate-confirmed/Shulkin, David J",1,Moses Taylor Hospital,"Scranton, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",2,Burns White,"Conshohocken, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",3,Francisco Partners,"San Francisco, California",Advisory Board Services prior to federal employment
"Senate-confirmed/Shulkin, David J",4,Gross McGinley,"Allentown, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",5,McCumber Daniels,"Tampa, Florida",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",6,Hutchinson Biofil Medical Solutions Ltd,"Radnor, Pennsylvania",Advisory services prior to federal employment
"Senate-confirmed/Shulkin, David J",7,Atlantic Health System,"Morristown, New Jersey",Employee pay prior to federal employment
"Senate-confirmed/Shulkin, David J",8,Pinnacle Health,"Harrisburg, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",9,Control Rad Inc,"Radnor, Pennsylvania",Board member duties prior to federal employment
"Senate-confirmed/Shulkin, David J",10,Geisinger Health System,"Danville, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",11,Harrington Law,"Warick, Rhode Island",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",12,Peoples Security Insurance,"Scranton, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",13,United Central Pennsylvania Insurance,"Burlington, Vermont",Services for review of legal cases prior to federal employment
"Senate-confirmed/Shulkin, David J",14,Merle Bari MD and Associates Inc,"Gladwyne, Pennsylvania",Payment for services prior to federal employment
"Senate-confirmed/Shulkin, David J",15,Community Hospital Alternative forRisk,"Upper St. Clair, Pennsylvania",Services for review of legal cases prior to federal employment
"Senate-confirmed/Sullivan, John J",1,Mayer Brown LLP,"Washington, District of Columbia",Legal services
"Senate-confirmed/Sullivan, John J",2,Deloitte Touche Tohmatsu Limited and the related Deloitte member firms worldwide,"New York, New York",Legal services
"Senate-confirmed/Sullivan, John J",3,Albemarle Europe Sprl,"Brussels, Belgium",Legal services
"Senate-confirmed/Sullivan, John J",4,"Medtronic, Inc.","Minneaplis, Minnesota",Legal services
"Senate-confirmed/Tillerson, Rex W",1,ExxonMobil Corporation,"Irving, Texas","Chairman, Chief Executive Officer"
"Senate-confirmed/Wilson, Heather A",1,South Dakota School of Mines and Technology,"Rapid City, South Dakota",President responsible for running educational institution
"Senate-confirmed/Wilson, Heather A",2,Peabody Energy Co.,"St. Louis, Missouri",Provides advice as member of Board of Directors to this coal company
"Senate-confirmed/Wilson, Heather A",3,Raven Industries,"Sioux Falls, South Dakota","Provides advice as a member of the Board of Directors of this company that manufactures high altitude balloons, specialty films for agriculture and energy industries and technology products for the agriculture industry."
"Senate-confirmed/Zinke, Ryan",1,STWA,"Santa Barbara, California",Consultant
"U.S. Trade and Development Agency/Atkins, Stewart",1,Afore Consulting,"Brussels, Outside U.S.",Junior Consultant at a European finance consulting firm.
"U.S. Trade and Development Agency/Gentry, Randall",1,Presidential Inaugural Committee,"Washington, District of Columbia",Division Director - Inaugural Parade
"U.S. Trade and Development Agency/Gentry, Randall",2,"Donald J. Trump for President, Inc.","New York, New York",Advance Team Staff
"U.S. Trade and Development Agency/Gentry, Randall",3,State of Indiana,"Indianapolis, Indiana",Parole Board / Senior Parole Agent
"U.S. Trade and Development Agency/Leppert, Ryan",1,"Donald j. Trump for President, Inc.","New York, New York",Director- Dallas/Fort Worth Headquarter Administrative Director - Florida
"White House/Agen, Jarrod P",1,State of Michigan,"Lansing, Michigan",Chief of Staff for the Governor.  Managed executive office.
"White House/Agen, Jarrod P",2,State of Michigan,"Lansing, Michigan",Director of Communications for the Governor.  Developed communications plans for state government.
"White House/Ambrosini, Michael J",1,Republican National Committee,"Washington, District of Columbia",RNC - Chairman's Office
"White House/Anton, Michael",1,BlackRock,"New York, New York",
"White House/Anton, Michael",2,Citigroup,"New York, New York",
"White House/Anton, Michael",3,The Claremont Review of Books,"Claremont, California",Writer
"White House/Bannon, Steve",1,"GOVERNMENT ACCOUNTABILITY INSTITUTE, INC.","TALLAHASSEE, Florida",CHAIRMAN
"White House/Bannon, Steve",2,"BANNON FILM INDUSTRIES, INC.","LOS ANGELES, California",PRESIDENT
"White House/Bannon, Steve",3,"BANNON STRATEGIC ADVISORS, INC.","LOS ANGELES, California",PRESIDENT
"White House/Bannon, Steve",4,"BREITBART NEWS NETWORK, LLC","LOS ANGELES, California","CONSULTING AND ADVISORY SERVICES VIA BANNON STRATEGIC ADVISORS, INC."
"White House/Bannon, Steve",5,"CAMBRIDGE ANALYTICA, LLC","WASHINGTON, District of Columbia","CONSULTING AND ADVISORY SERVICES VIA BANNON STRATEGIC ADVISORS, INC."
"White House/Bannon, Steve",6,"GLITTERING STEEL, LLC","ARLINGTON, Virginia","CONSULTING AND ADVISORY SERVICES VIA BANNON STRATEGIC ADVISORS, INC."
"White House/Bash, Zina G ",1,McAllen Anesthesia Consultants,"McAllen, Texas",Advising on business and regulatory issues.
"White House/Bash, Zina G ",2,Cruz for President,"Houston, Texas",Advising on policy and communications.
"White House/Bash, Zina G ",3,Doctors Hospital at Renaissance,"Edinburg, Texas",Assisting in improving operations and business development.
"White House/Berkowitz, Avrahm J",1,Gibson Dunn,"New York, New York",Summer associate.
"White House/Berkowitz, Avrahm J",2,Harvard College,"Cambridge, Massachusetts",Taught class on politics to students in college
"White House/Berkowitz, Avrahm J",3,Donald J. Trump for President,"New York, New York",Was assistant to digital director.
"White House/Berkowitz, Avrahm J",4,"Trump for America, Inc.","Washington, District of Columbia",Assistant to members of transition
"White House/Blase, Brian C",1,Mercatus Center at George Mason University,"Arlington, Virginia",Sr. Research Fellow
"White House/Bossert, Thomas",1,"Civil Defense Solutions, LLC","Arlington, Virginia",
"White House/Bossert, Thomas",2,Obsidian Analysis Inc.,"Washington, District of Columbia",Homeland security consulting services
"White House/Bossert, Thomas",3,"The Cadmus Group, Inc.","Waltham, Massachusetts",Homeland security consulting services
"White House/Bossert, Thomas",4,"Raffetto Herman Strategic Communications, LLC","Washington, District of Columbia",Homeland security consulting services
"White House/Bremberg, Andrew",1,"Right Policy, LLC","Alexandria, Virginia",Manager
"White House/Bremberg, Andrew",2,Freedom Partners Chamber of Commerce Inc,"Arlington, Virginia",Policy Consultant
"White House/Bremberg, Andrew",3,Committee on Arrangements 2016 Republican National Convention,"Washington, District of Columbia",Policy Consultant
"White House/Bremberg, Andrew",4,Crossroads GPS,"Warrenton, Virginia",Policy Consultant
"White House/Bremberg, Andrew",5,Trump for America Inc,"Washington, District of Columbia",Policy Consultant
"White House/Burnham, James M",1,Jones Day,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",2,Khalid Aldawsari,"Marion, Illinois",Legal Services
"White House/Burnham, James M",3,Center for Individual Rights,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",4,Citizens United,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",5,Command Security Corporation,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",6,"Donald J. Trump for President, Inc.","New York, New York",Legal Services
"White House/Burnham, James M",7,Ending Spending PAC,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",8,Experian Corporation,"Herndon, Virginia",Legal Services
"White House/Burnham, James M",9,R.J. Reynolds Tobacco Company,"Winston-Salem, North Carolina",Legal Services
"White House/Burnham, James M",10,Republican National Committee,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",11,Reynolds American Incorporated,"Winston-Salem, North Carolina",Legal Services
"White House/Burnham, James M",12,Romney for President,"Boston, Massachusetts",Legal Services
"White House/Burnham, James M",13,UnityPoint Health,"Des Moines, Iowa",Legal Services
"White House/Burnham, James M",14,University of North Carolina,"Chapel Hill, North Carolina",Legal Services
"White House/Burnham, James M",15,Herbert Vederman,"Philadelphia, Pennsylvania",Legal Services
"White House/Burnham, James M",16,Washington Metropolitan Transit Authority,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",17,Public Opinion Strategies,"Washington, District of Columbia",Legal Services
"White House/Burnham, James M",18,Robert F. McDonnell,"Virginia Beach, Virginia",Legal Services
"White House/Burnham, James M",19,Trump Make America Great Again Committee,"New York, New York",Legal Services
"White House/Cairncross, Sean",1,Holtzman Vogel Josefiak Torchinsky,"Warrenton, Virginia",Attorney
"White House/Cairncross, Sean",2,VogelHood Research,"Washington, District of Columbia",General Counsel
"White House/Cairncross, Sean",3,Texans for Senator John Cornyn,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",4,National Rifle Association,"Fairfax, Virginia",Attorney
"White House/Cairncross, Sean",5,McConnell Senate Committee '14,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",6,Alamo PAC,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",7,Minnesota Action Network,"St. Paul, Minnesota",Attorney
"White House/Cairncross, Sean",8,FP1 Strategies,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",9,Independent Voice for Illinois PAC,"Chicago, Illinois",Attorney
"White House/Cairncross, Sean",10,Sullivan for U.S. Senate,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",11,Causeway Solutions,"New Orleans, Louisiana",Attorney
"White House/Cairncross, Sean",12,Mango Consulting Inc.,"Austin, Texas",Attorney
"White House/Cairncross, Sean",13,Cardinal Insights,"Washington, District of Columbia",Attorney
"White House/Cairncross, Sean",14,Republican National Committee,"Washington, District of Columbia",Chief Operating Officer
"White House/Castillo, Andeliz N",1,Americans For Prosperity,"Arlington, Virginia",Spearheaded the merger of several grassroots organizations
"White House/Castillo, Andeliz N",2,The Libre Initiative,"Arlington, Virginia",Ran the day to day operations of the organization
"White House/Catanzaro, Michael J",1,American Chemistry Council,"Washington, District of Columbia",Consulting/lobbying.
"White House/Catanzaro, Michael J",2,American Council on Capital Formation,"Washington, District of Columbia",Consulting
"White House/Catanzaro, Michael J",3,Addrex,"Herndon, Virginia",Partner compensation
